Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 544,Pakistan,West Indies,West Indies,7 wickets,Perth,"Jan 1, 1989"
ODI # 545,Australia,Pakistan,Pakistan,38 runs,Perth,"Jan 2, 1989"
ODI # 546,Australia,West Indies,Australia,8 runs,Melbourne,"Jan 5, 1989"
ODI # 547,Pakistan,West Indies,Pakistan,55 runs,Brisbane,"Jan 7, 1989"
ODI # 548,Australia,Pakistan,Australia,5 wickets,Brisbane,"Jan 8, 1989"
ODI # 549,Australia,Pakistan,Australia,6 runs,Melbourne,"Jan 10, 1989"
ODI # 550,Australia,West Indies,Australia,61 runs,Sydney,"Jan 12, 1989"
ODI # 551,Australia,West Indies,Australia,2 runs,Melbourne,"Jan 14, 1989"
ODI # 552,Australia,West Indies,West Indies,92 runs,Sydney,"Jan 16, 1989"
ODI # 553,Australia,West Indies,West Indies,8 wickets,Sydney,"Jan 18, 1989"
ODI # 554,New Zealand,Pakistan,New Zealand,8 wickets,Dunedin,"Feb 6, 1989"
ODI # 555,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Mar 4, 1989"
ODI # 556,West Indies,India,West Indies,50 runs,Bridgetown,"Mar 7, 1989"
ODI # 557,New Zealand,Pakistan,New Zealand,6 wickets,Wellington,"Mar 8, 1989"
ODI # 558,West Indies,India,West Indies,6 wickets,Port of Spain,"Mar 9, 1989"
ODI # 559,New Zealand,Pakistan,Pakistan,7 wickets,Auckland,"Mar 11, 1989"
ODI # 560,West Indies,India,West Indies,6 wickets,Port of Spain,"Mar 11, 1989"
ODI # 561,New Zealand,Pakistan,New Zealand,7 wickets,Hamilton,"Mar 14, 1989"
ODI # 562,West Indies,India,West Indies,8 wickets,St John's,"Mar 18, 1989"
ODI # 563,West Indies,India,West Indies,101 runs,Georgetown,"Mar 21, 1989"
ODI # 564,Pakistan,Sri Lanka,Pakistan,30 runs,Sharjah,"Mar 23, 1989"
ODI # 565,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,"Mar 24, 1989"
ODI # 566,England,Australia,England,95 runs,Manchester,"May 25, 1989"
ODI # 567,England,Australia,tied,,Nottingham,"May 27, 1989"
ODI # 568,England,Australia,Australia,6 wickets,Lord's,"May 29, 1989"
ODI # 569,India,West Indies,West Indies,5 wickets,Sharjah,"Oct 13, 1989"
ODI # 570,Pakistan,West Indies,Pakistan,11 runs,Sharjah,"Oct 14, 1989"
ODI # 571,England,Sri Lanka,England,5 wickets,Delhi,"Oct 15, 1989"
ODI # 572,India,Pakistan,Pakistan,6 wickets,Sharjah,"Oct 15, 1989"
ODI # 573,India,West Indies,India,37 runs,Sharjah,"Oct 16, 1989"
ODI # 574,Pakistan,West Indies,Pakistan,57 runs,Sharjah,"Oct 17, 1989"
ODI # 575,Australia,England,England,7 wickets,Hyderabad (Deccan),"Oct 19, 1989"
ODI # 576,Sri Lanka,West Indies,Sri Lanka,4 wickets,Rajkot,"Oct 19, 1989"
ODI # 577,India,Pakistan,Pakistan,38 runs,Sharjah,"Oct 20, 1989"
ODI # 578,Australia,West Indies,Australia,99 runs,Chennai,"Oct 21, 1989"
ODI # 579,England,Pakistan,England,4 wickets,Cuttack,"Oct 22, 1989"
ODI # 580,India,Sri Lanka,India,6 runs,Ahmedabad,"Oct 22, 1989"
ODI # 581,Australia,Pakistan,Pakistan,66 runs,Mumbai (BS),"Oct 23, 1989"
ODI # 582,India,West Indies,West Indies,20 runs,Delhi,"Oct 23, 1989"
ODI # 583,India,England,India,6 wickets,Kanpur,"Oct 25, 1989"
ODI # 584,Pakistan,West Indies,West Indies,6 wickets,Jalandhar,"Oct 25, 1989"
ODI # 585,Australia,Sri Lanka,Australia,28 runs,Margao,"Oct 25, 1989"
ODI # 586,England,West Indies,West Indies,26 runs,Gwalior,"Oct 27, 1989"
ODI # 587,India,Australia,India,3 wickets,Bengaluru,"Oct 27, 1989"
ODI # 588,Pakistan,Sri Lanka,Pakistan,6 runs,Lucknow,"Oct 27, 1989"
ODI # 589,India,Pakistan,Pakistan,77 runs,Kolkata,"Oct 28, 1989"
ODI # 590,England,Pakistan,Pakistan,6 wickets,Nagpur,"Oct 30, 1989"
ODI # 591,India,West Indies,West Indies,8 wickets,Mumbai,"Oct 30, 1989"
ODI # 592,Pakistan,West Indies,Pakistan,4 wickets,Kolkata,"Nov 1, 1989"
ODI # 593,Pakistan,India,Pakistan,7 runs,Gujranwala,"Dec 18, 1989"
ODI # 594,Pakistan,India,no result,,Karachi,"Dec 20, 1989"
ODI # 595,Pakistan,India,Pakistan,38 runs,Lahore,"Dec 22, 1989"
ODI # 596,Australia,Sri Lanka,Australia,30 runs,Melbourne,"Dec 26, 1989"
ODI # 597,Australia,Sri Lanka,Australia,9 wickets,Perth,"Dec 30, 1989"
ODI # 598,Pakistan,Sri Lanka,Sri Lanka,3 wickets,Perth,"Dec 31, 1989"
