Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 484,Australia,Sri Lanka,Australia,81 runs,Perth,"Jan 2, 1988"
ODI # 483,India,West Indies,India,56 runs,Kolkata,"Jan 2, 1988"
ODI # 485,Australia,New Zealand,New Zealand,1 run,Perth,"Jan 3, 1988"
ODI # 486,New Zealand,Sri Lanka,New Zealand,6 wickets,Sydney,"Jan 5, 1988"
ODI # 487,India,West Indies,West Indies,6 wickets,Rajkot,"Jan 5, 1988"
ODI # 488,Australia,New Zealand,Australia,6 runs,Melbourne,"Jan 7, 1988"
ODI # 489,India,West Indies,West Indies,2 runs,Ahmedabad,"Jan 7, 1988"
ODI # 490,New Zealand,Sri Lanka,New Zealand,4 wickets,Adelaide,"Jan 9, 1988"
ODI # 491,Australia,Sri Lanka,Australia,81 runs,Adelaide,"Jan 10, 1988"
ODI # 492,New Zealand,Sri Lanka,Sri Lanka,4 wickets,Hobart,"Jan 12, 1988"
ODI # 493,Australia,Sri Lanka,Australia,38 runs,Melbourne,"Jan 14, 1988"
ODI # 494,New Zealand,Sri Lanka,New Zealand,4 wickets,Brisbane,"Jan 16, 1988"
ODI # 495,Australia,New Zealand,Australia,5 wickets,Brisbane,"Jan 17, 1988"
ODI # 496,Australia,Sri Lanka,Australia,3 wickets,Sydney,"Jan 19, 1988"
ODI # 497,India,West Indies,West Indies,4 wickets,Faridabad,"Jan 19, 1988"
ODI # 498,Australia,New Zealand,Australia,78 runs,Sydney,"Jan 20, 1988"
ODI # 499,Australia,New Zealand,Australia,8 wickets,Melbourne,"Jan 22, 1988"
ODI # 500,India,West Indies,West Indies,73 runs,Gwalior,"Jan 22, 1988"
ODI # 501,Australia,New Zealand,Australia,6 wickets,Sydney,"Jan 24, 1988"
ODI # 502,India,West Indies,West Indies,9 wickets,Thiruvananthapuram,"Jan 25, 1988"
ODI # 503,Australia,England,Australia,22 runs,Melbourne,"Feb 4, 1988"
ODI # 504,New Zealand,England,England,5 wickets,Dunedin,"Mar 9, 1988"
ODI # 505,New Zealand,England,England,6 wickets,Christchurch,"Mar 12, 1988"
ODI # 506,West Indies,Pakistan,West Indies,47 runs,Kingston,"Mar 12, 1988"
ODI # 507,West Indies,Pakistan,West Indies,5 wickets,St John's,"Mar 15, 1988"
ODI # 508,New Zealand,England,New Zealand,7 wickets,Napier,"Mar 16, 1988"
ODI # 509,West Indies,Pakistan,West Indies,50 runs,Port of Spain,"Mar 18, 1988"
ODI # 510,New Zealand,England,New Zealand,4 wickets,Auckland,"Mar 19, 1988"
ODI # 511,West Indies,Pakistan,West Indies,7 wickets,Port of Spain,"Mar 20, 1988"
ODI # 512,India,Sri Lanka,India,18 runs,Sharjah,"Mar 25, 1988"
ODI # 513,India,New Zealand,India,73 runs,Sharjah,"Mar 27, 1988"
ODI # 514,New Zealand,Sri Lanka,New Zealand,99 runs,Sharjah,"Mar 29, 1988"
ODI # 515,West Indies,Pakistan,West Indies,7 wickets,Georgetown,"Mar 30, 1988"
ODI # 516,New Zealand,Sri Lanka,New Zealand,43 runs,Sharjah,"Mar 31, 1988"
ODI # 517,India,New Zealand,India,52 runs,Sharjah,"Apr 1, 1988"
ODI # 518,England,West Indies,England,6 wickets,Birmingham,"May 19, 1988"
ODI # 519,England,West Indies,England,47 runs,Leeds,"May 21, 1988"
ODI # 520,England,West Indies,England,7 wickets,Lord's,"May 23-24, 1988"
ODI # 521,England,Sri Lanka,England,5 wickets,The Oval,"Sep 4, 1988"
ODI # 522,Pakistan,Australia,Pakistan,,Lahore,"Oct 14, 1988"
ODI # 523,India,West Indies,India,23 runs,Sharjah,"Oct 16, 1988"
ODI # 524,Pakistan,West Indies,Pakistan,84 runs,Sharjah,"Oct 18, 1988"
ODI # 525,India,Pakistan,Pakistan,34 runs,Sharjah,"Oct 19, 1988"
ODI # 526,India,West Indies,West Indies,8 wickets,Sharjah,"Oct 21, 1988"
ODI # 527,Pakistan,West Indies,West Indies,11 runs,Sharjah,"Oct 22, 1988"
ODI # 528,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Oct 27, 1988"
ODI # 529,Bangladesh,India,India,9 wickets,Chittagong,"Oct 27, 1988"
ODI # 530,India,Sri Lanka,Sri Lanka,17 runs,Dhaka,"Oct 29, 1988"
ODI # 531,Bangladesh,Pakistan,Pakistan,173 runs,Chittagong,"Oct 29, 1988"
ODI # 532,India,Pakistan,India,4 wickets,Dhaka,"Oct 31, 1988"
ODI # 533,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"Nov 2, 1988"
ODI # 534,India,Sri Lanka,India,6 wickets,Dhaka,"Nov 4, 1988"
ODI # 535,Pakistan,West Indies,West Indies,89 runs,Adelaide,"Dec 10, 1988"
ODI # 536,India,New Zealand,India,4 wickets,Visakhapatnam,"Dec 10, 1988"
ODI # 537,Australia,Pakistan,Australia,9 wickets,Adelaide,"Dec 11, 1988"
ODI # 538,India,New Zealand,India,5 wickets,Cuttack,"Dec 12, 1988"
ODI # 539,Australia,West Indies,West Indies,1 run,Sydney,"Dec 13, 1988"
ODI # 540,Australia,West Indies,West Indies,34 runs,Melbourne,"Dec 15, 1988"
ODI # 541,India,New Zealand,India,53 runs,Indore,"Dec 15, 1988"
ODI # 542,Pakistan,West Indies,West Indies,17 runs,Hobart,"Dec 17, 1988"
ODI # 543,India,New Zealand,India,2 wickets,Vadodara,"Dec 17, 1988"
