Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 3451,New Zealand,West Indies,New Zealand,159 runs,Queenstown,"Jan 1, 2014"
ODI # 3452,New Zealand,West Indies,New Zealand,58 runs,Nelson,"Jan 4, 2014"
ODI # 3453,New Zealand,West Indies,West Indies,203 runs,Hamilton,"Jan 8, 2014"
ODI # 3454,Australia,England,Australia,6 wickets,Melbourne,"Jan 12, 2014"
ODI # 3455,Australia,England,Australia,1 wicket,Brisbane,"Jan 17, 2014"
ODI # 3456,New Zealand,India,New Zealand,24 runs,Napier,"Jan 19, 2014"
ODI # 3457,Australia,England,Australia,7 wickets,Sydney,"Jan 19, 2014"
ODI # 3458,New Zealand,India,New Zealand,15 runs,Hamilton,"Jan 22, 2014"
ODI # 3459,Canada,Scotland,Scotland,170 runs,Christchurch,"Jan 23, 2014"
ODI # 3460,Kenya,Netherlands,Kenya,4 wickets,Lincoln,"Jan 23, 2014"
ODI # 3461,Australia,England,England,57 runs,Perth,"Jan 24, 2014"
ODI # 3462,New Zealand,India,tied,,Auckland,"Jan 25, 2014"
ODI # 3463,Australia,England,Australia,5 runs,Adelaide,"Jan 26, 2014"
ODI # 3464,Canada,Netherlands,Netherlands,8 wickets,Mount Maunganui,"Jan 28, 2014"
ODI # 3465,New Zealand,India,New Zealand,7 wickets,Hamilton,"Jan 28, 2014"
ODI # 3466,Kenya,Scotland,Scotland,3 wickets,Christchurch,"Jan 30, 2014"
ODI # 3467,New Zealand,India,New Zealand,87 runs,Wellington,"Jan 31, 2014"
ODI # 3468,Scotland,U.A.E.,Scotland,41 runs,Lincoln,"Feb 1, 2014"
ODI # 3469,Bangladesh,Sri Lanka,Sri Lanka,13 runs,Dhaka,"Feb 17, 2014"
ODI # 3470,Bangladesh,Sri Lanka,Sri Lanka,61 runs,Dhaka,"Feb 20, 2014"
ODI # 3471,Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Dhaka,"Feb 22, 2014"
ODI # 3472,West Indies,Ireland,West Indies,4 wickets,Kingston,"Feb 23, 2014"
ODI # 3473,Pakistan,Sri Lanka,Sri Lanka,12 runs,Fatullah,"Feb 25, 2014"
ODI # 3474,Bangladesh,India,India,6 wickets,Fatullah,"Feb 26, 2014"
ODI # 3475,Afghanistan,Pakistan,Pakistan,72 runs,Fatullah,"Feb 27, 2014"
ODI # 3476,India,Sri Lanka,Sri Lanka,2 wickets,Fatullah,"Feb 28, 2014"
ODI # 3477,West Indies,England,West Indies,15 runs,North Sound,"Feb 28, 2014"
ODI # 3478,Bangladesh,Afghanistan,Afghanistan,32 runs,Fatullah,"Mar 1, 2014"
ODI # 3479,India,Pakistan,Pakistan,1 wicket,Dhaka,"Mar 2, 2014"
ODI # 3480,West Indies,England,England,3 wickets,North Sound,"Mar 2, 2014"
ODI # 3481,Afghanistan,Sri Lanka,Sri Lanka,129 runs,Dhaka,"Mar 3, 2014"
ODI # 3482,Bangladesh,Pakistan,Pakistan,3 wickets,Dhaka,"Mar 4, 2014"
ODI # 3483,Afghanistan,India,India,8 wickets,Dhaka,"Mar 5, 2014"
ODI # 3484,West Indies,England,England,25 runs,North Sound,"Mar 5, 2014"
ODI # 3485,Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Dhaka,"Mar 6, 2014"
ODI # 3486,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Mar 8, 2014"
ODI # 3487,Afghanistan,Hong Kong,Afghanistan,6 wickets,Kuala Lumpur,"May 1, 2014"
ODI # 3488,Afghanistan,U.A.E.,Afghanistan,70 runs,Kuala Lumpur,"May 2, 2014"
ODI # 3489,Hong Kong,U.A.E.,U.A.E.,2 wickets,Kuala Lumpur,"May 4, 2014"
ODI # 3490,Ireland,Sri Lanka,Sri Lanka,79 runs,Dublin,"May 6, 2014"
ODI # 3491,Scotland,England,England,39 runs,Aberdeen,"May 9, 2014"
ODI # 3492,England,Sri Lanka,England,81 runs,The Oval,"May 22, 2014"
ODI # 3493,England,Sri Lanka,Sri Lanka,157 runs,Chester-le-Street,"May 25, 2014"
ODI # 3494,England,Sri Lanka,England,10 wickets,Manchester,"May 28, 2014"
ODI # 3495,England,Sri Lanka,Sri Lanka,7 runs,Lord's,"May 31, 2014"
ODI # 3496,England,Sri Lanka,Sri Lanka,6 wickets,Birmingham,"Jun 3, 2014"
ODI # 3497,Bangladesh,India,India,7 wickets,Dhaka,"Jun 15, 2014"
ODI # 3498,Bangladesh,India,India,47 runs,Dhaka,"Jun 17, 2014"
ODI # 3499,Bangladesh,India,no result,,Dhaka,"Jun 19, 2014"
ODI # 3500,Sri Lanka,South Africa,South Africa,75 runs,Colombo (RPS),"Jul 6, 2014"
ODI # 3501,Sri Lanka,South Africa,Sri Lanka,87 runs,Pallekele,"Jul 9, 2014"
ODI # 3502,Sri Lanka,South Africa,South Africa,82 runs,Hambantota,"Jul 12, 2014"
ODI # 3503,Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,"Jul 18, 2014"
ODI # 3504,Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,"Jul 20, 2014"
ODI # 3505,Zimbabwe,Afghanistan,Afghanistan,2 wickets,Bulawayo,"Jul 22, 2014"
ODI # 3506,Zimbabwe,Afghanistan,Afghanistan,100 runs,Bulawayo,"Jul 24, 2014"
