Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
ODI # 1,Australia,England,5 wickets,Melbourne,"Jan 5, 1971",Australia
ODI # 2,England,Australia,6 wickets,Manchester,"Aug 24, 1972",England
ODI # 3,England,Australia,5 wickets,Lord's,"Aug 26, 1972",Australia
ODI # 4,England,Australia,2 wickets,Birmingham,"Aug 28, 1972",England
ODI # 5,New Zealand,Pakistan,22 runs,Christchurch,"Feb 11, 1973",New Zealand
ODI # 6,England,New Zealand,7 wickets,Swansea,"Jul 18, 1973",England
ODI # 8,England,West Indies,1 wicket,Leeds,"Sep 5, 1973",England
ODI # 9,England,West Indies,8 wickets,The Oval,"Sep 7, 1973",West Indies
ODI # 10,New Zealand,Australia,7 wickets,Dunedin,"Mar 30, 1974",Australia
ODI # 11,New Zealand,Australia,31 runs,Christchurch,"Mar 31, 1974",Australia
ODI # 12,England,India,4 wickets,Leeds,"Jul 13, 1974",England
ODI # 13,England,India,6 wickets,The Oval,"Jul 15-16, 1974",England
ODI # 14,England,Pakistan,7 wickets,Nottingham,"Aug 31, 1974",Pakistan
ODI # 15,England,Pakistan,8 wickets,Birmingham,"Sep 3, 1974",Pakistan
ODI # 16,Australia,England,3 wickets,Melbourne,"Jan 1, 1975",England
ODI # 19,England,India,202 runs,Lord's,"Jun 7, 1975",England
ODI # 20,East Africa,New Zealand,181 runs,Birmingham,"Jun 7, 1975",New Zealand
ODI # 21,Australia,Pakistan,73 runs,Leeds,"Jun 7, 1975",Australia
ODI # 22,Sri Lanka,West Indies,9 wickets,Manchester,"Jun 7, 1975",West Indies
ODI # 23,England,New Zealand,80 runs,Nottingham,"Jun 11, 1975",England
ODI # 24,East Africa,India,10 wickets,Leeds,"Jun 11, 1975",India
ODI # 25,Australia,Sri Lanka,52 runs,The Oval,"Jun 11, 1975",Australia
ODI # 26,Pakistan,West Indies,1 wicket,Birmingham,"Jun 11, 1975",West Indies
ODI # 27,England,East Africa,196 runs,Birmingham,"Jun 14, 1975",England
ODI # 28,India,New Zealand,4 wickets,Manchester,"Jun 14, 1975",New Zealand
ODI # 29,Australia,West Indies,7 wickets,The Oval,"Jun 14, 1975",West Indies
ODI # 30,Pakistan,Sri Lanka,192 runs,Nottingham,"Jun 14, 1975",Pakistan
ODI # 31,England,Australia,4 wickets,Leeds,"Jun 18, 1975",Australia
ODI # 32,New Zealand,West Indies,5 wickets,The Oval,"Jun 18, 1975",West Indies
ODI # 33,Australia,West Indies,17 runs,Lord's,"Jun 21, 1975",West Indies
ODI # 34,Australia,West Indies,5 wickets,Adelaide,"Dec 20, 1975",Australia
ODI # 35,New Zealand,India,9 wickets,Christchurch,"Feb 21, 1976",New Zealand
ODI # 36,New Zealand,India,80 runs,Auckland,"Feb 22, 1976",New Zealand
ODI # 37,England,West Indies,6 wickets,Scarborough,"Aug 26, 1976",West Indies
ODI # 38,England,West Indies,36 runs,Lord's,"Aug 28-29, 1976",West Indies
ODI # 39,England,West Indies,50 runs,Birmingham,"Aug 30-31, 1976",West Indies
ODI # 40,Pakistan,New Zealand,1 run,Sialkot,"Oct 16, 1976",New Zealand
ODI # 41,West Indies,Pakistan,4 wickets,Albion,"Mar 16, 1977",West Indies
ODI # 42,England,Australia,2 wickets,Manchester,"Jun 2, 1977",England
ODI # 43,England,Australia,101 runs,Birmingham,"Jun 4, 1977",England
ODI # 44,England,Australia,2 wickets,The Oval,"Jun 6, 1977",Australia
ODI # 45,Pakistan,England,3 wickets,Sahiwal,"Dec 23, 1977",England
ODI # 46,Pakistan,England,6 wickets,Sialkot,"Dec 30, 1977",England
ODI # 47,Pakistan,England,36 runs,Lahore,"Jan 13, 1978",Pakistan
ODI # 48,West Indies,Australia,44 runs,St John's,"Feb 22, 1978",West Indies
ODI # 49,West Indies,Australia,2 wickets,Castries,"Apr 12, 1978",Australia
ODI # 50,England,Pakistan,132 runs,Manchester,"May 24-25, 1978",England
ODI # 51,England,Pakistan,94 runs,The Oval,"May 26, 1978",England
ODI # 52,England,New Zealand,19 runs,Scarborough,"Jul 15, 1978",England
ODI # 53,England,New Zealand,126 runs,Manchester,"Jul 17, 1978",England
ODI # 54,Pakistan,India,4 runs,Quetta,"Oct 1, 1978",India
ODI # 55,Pakistan,India,8 wickets,Sialkot,"Oct 13, 1978",Pakistan
ODI # 56,Pakistan,India,,Sahiwal,"Nov 3, 1978",Pakistan
ODI # 58,Australia,England,7 wickets,Melbourne,"Jan 24, 1979",England
ODI # 59,Australia,England,4 wickets,Melbourne,"Feb 4, 1979",Australia
ODI # 60,Australia,England,6 wickets,Melbourne,"Feb 7, 1979",Australia
ODI # 61,India,West Indies,9 wickets,Birmingham,"Jun 9, 1979",West Indies
ODI # 62,New Zealand,Sri Lanka,9 wickets,Nottingham,"Jun 9, 1979",New Zealand
ODI # 63,England,Australia,6 wickets,Lord's,"Jun 9, 1979",England
ODI # 64,Canada,Pakistan,8 wickets,Leeds,"Jun 9, 1979",Pakistan
ODI # 65,India,New Zealand,8 wickets,Leeds,"Jun 13, 1979",New Zealand
ODI # 66,Australia,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979",Pakistan
ODI # 67,England,Canada,8 wickets,Manchester,"Jun 13-14, 1979",England
