,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
0,ODI # 1,Australia,England,5 wickets,Melbourne,"Jan 5, 1971",Australia
1,ODI # 2,England,Australia,6 wickets,Manchester,"Aug 24, 1972",England
2,ODI # 3,England,Australia,5 wickets,Lord's,"Aug 26, 1972",Australia
3,ODI # 4,England,Australia,2 wickets,Birmingham,"Aug 28, 1972",England
4,ODI # 5,New Zealand,Pakistan,22 runs,Christchurch,"Feb 11, 1973",New Zealand
5,ODI # 6,England,New Zealand,7 wickets,Swansea,"Jul 18, 1973",England
6,ODI # 8,England,West Indies,1 wicket,Leeds,"Sep 5, 1973",England
7,ODI # 9,England,West Indies,8 wickets,The Oval,"Sep 7, 1973",West Indies
8,ODI # 10,New Zealand,Australia,7 wickets,Dunedin,"Mar 30, 1974",Australia
9,ODI # 11,New Zealand,Australia,31 runs,Christchurch,"Mar 31, 1974",Australia
10,ODI # 12,England,India,4 wickets,Leeds,"Jul 13, 1974",England
11,ODI # 13,England,India,6 wickets,The Oval,"Jul 15-16, 1974",England
12,ODI # 14,England,Pakistan,7 wickets,Nottingham,"Aug 31, 1974",Pakistan
13,ODI # 15,England,Pakistan,8 wickets,Birmingham,"Sep 3, 1974",Pakistan
14,ODI # 16,Australia,England,3 wickets,Melbourne,"Jan 1, 1975",England
15,ODI # 19,England,India,202 runs,Lord's,"Jun 7, 1975",England
16,ODI # 20,East Africa,New Zealand,181 runs,Birmingham,"Jun 7, 1975",New Zealand
17,ODI # 21,Australia,Pakistan,73 runs,Leeds,"Jun 7, 1975",Australia
18,ODI # 22,Sri Lanka,West Indies,9 wickets,Manchester,"Jun 7, 1975",West Indies
19,ODI # 23,England,New Zealand,80 runs,Nottingham,"Jun 11, 1975",England
20,ODI # 24,East Africa,India,10 wickets,Leeds,"Jun 11, 1975",India
21,ODI # 25,Australia,Sri Lanka,52 runs,The Oval,"Jun 11, 1975",Australia
22,ODI # 26,Pakistan,West Indies,1 wicket,Birmingham,"Jun 11, 1975",West Indies
23,ODI # 27,England,East Africa,196 runs,Birmingham,"Jun 14, 1975",England
24,ODI # 28,India,New Zealand,4 wickets,Manchester,"Jun 14, 1975",New Zealand
25,ODI # 29,Australia,West Indies,7 wickets,The Oval,"Jun 14, 1975",West Indies
26,ODI # 30,Pakistan,Sri Lanka,192 runs,Nottingham,"Jun 14, 1975",Pakistan
27,ODI # 31,England,Australia,4 wickets,Leeds,"Jun 18, 1975",Australia
28,ODI # 32,New Zealand,West Indies,5 wickets,The Oval,"Jun 18, 1975",West Indies
29,ODI # 33,Australia,West Indies,17 runs,Lord's,"Jun 21, 1975",West Indies
30,ODI # 34,Australia,West Indies,5 wickets,Adelaide,"Dec 20, 1975",Australia
31,ODI # 35,New Zealand,India,9 wickets,Christchurch,"Feb 21, 1976",New Zealand
32,ODI # 36,New Zealand,India,80 runs,Auckland,"Feb 22, 1976",New Zealand
33,ODI # 37,England,West Indies,6 wickets,Scarborough,"Aug 26, 1976",West Indies
34,ODI # 38,England,West Indies,36 runs,Lord's,"Aug 28-29, 1976",West Indies
35,ODI # 39,England,West Indies,50 runs,Birmingham,"Aug 30-31, 1976",West Indies
36,ODI # 40,Pakistan,New Zealand,1 run,Sialkot,"Oct 16, 1976",New Zealand
37,ODI # 41,West Indies,Pakistan,4 wickets,Albion,"Mar 16, 1977",West Indies
38,ODI # 42,England,Australia,2 wickets,Manchester,"Jun 2, 1977",England
