Unnamed: 0,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2
0,ODI # 1,Australia,England,Winner2ndInning,Melbourne,"Jan 5, 1971",Australia,Australia,Home,Away,Second,First
1,ODI # 2,England,Australia,Winner2ndInning,Manchester,"Aug 24, 1972",England,England,Home,Away,Second,First
2,ODI # 3,England,Australia,Winner2ndInning,Lord's,"Aug 26, 1972",Australia,England,Home,Away,First,Second
3,ODI # 4,England,Australia,Winner2ndInning,Birmingham,"Aug 28, 1972",England,England,Home,Away,Second,First
4,ODI # 5,New Zealand,Pakistan,Winner1stInning,Christchurch,"Feb 11, 1973",New Zealand,New Zealand,Home,Away,First,Second
5,ODI # 6,England,New Zealand,Winner2ndInning,Swansea,"Jul 18, 1973",England,England,Home,Away,Second,First
6,ODI # 8,England,West Indies,Winner2ndInning,Leeds,"Sep 5, 1973",England,England,Home,Away,Second,First
7,ODI # 9,England,West Indies,Winner2ndInning,The Oval,"Sep 7, 1973",West Indies,England,Home,Away,First,Second
8,ODI # 10,New Zealand,Australia,Winner2ndInning,Dunedin,"Mar 30, 1974",Australia,New Zealand,Home,Away,First,Second
9,ODI # 11,New Zealand,Australia,Winner1stInning,Christchurch,"Mar 31, 1974",Australia,New Zealand,Home,Away,Second,First
10,ODI # 12,England,India,Winner2ndInning,Leeds,"Jul 13, 1974",England,England,Home,Away,Second,First
11,ODI # 13,England,India,Winner2ndInning,The Oval,"Jul 15-16, 1974",England,England,Home,Away,Second,First
12,ODI # 14,England,Pakistan,Winner2ndInning,Nottingham,"Aug 31, 1974",Pakistan,England,Home,Away,First,Second
13,ODI # 15,England,Pakistan,Winner2ndInning,Birmingham,"Sep 3, 1974",Pakistan,England,Home,Away,First,Second
14,ODI # 16,Australia,England,Winner2ndInning,Melbourne,"Jan 1, 1975",England,Australia,Home,Away,First,Second
15,ODI # 19,England,India,Winner1stInning,Lord's,"Jun 7, 1975",England,England,Home,Away,First,Second
16,ODI # 20,East Africa,New Zealand,Winner1stInning,Birmingham,"Jun 7, 1975",New Zealand,England,Neutral,Neutral,Second,First
17,ODI # 21,Australia,Pakistan,Winner1stInning,Leeds,"Jun 7, 1975",Australia,England,Neutral,Neutral,First,Second
18,ODI # 22,Sri Lanka,West Indies,Winner2ndInning,Manchester,"Jun 7, 1975",West Indies,England,Neutral,Neutral,First,Second
19,ODI # 23,England,New Zealand,Winner1stInning,Nottingham,"Jun 11, 1975",England,England,Home,Away,First,Second
20,ODI # 24,East Africa,India,Winner2ndInning,Leeds,"Jun 11, 1975",India,England,Neutral,Neutral,First,Second
21,ODI # 25,Australia,Sri Lanka,Winner1stInning,The Oval,"Jun 11, 1975",Australia,England,Neutral,Neutral,First,Second
22,ODI # 26,Pakistan,West Indies,Winner2ndInning,Birmingham,"Jun 11, 1975",West Indies,England,Neutral,Neutral,First,Second
23,ODI # 27,England,East Africa,Winner1stInning,Birmingham,"Jun 14, 1975",England,England,Home,Away,First,Second
24,ODI # 28,India,New Zealand,Winner2ndInning,Manchester,"Jun 14, 1975",New Zealand,England,Neutral,Neutral,First,Second
25,ODI # 29,Australia,West Indies,Winner2ndInning,The Oval,"Jun 14, 1975",West Indies,England,Neutral,Neutral,First,Second
26,ODI # 30,Pakistan,Sri Lanka,Winner1stInning,Nottingham,"Jun 14, 1975",Pakistan,England,Neutral,Neutral,First,Second
27,ODI # 31,England,Australia,Winner2ndInning,Leeds,"Jun 18, 1975",Australia,England,Home,Away,First,Second
28,ODI # 32,New Zealand,West Indies,Winner2ndInning,The Oval,"Jun 18, 1975",West Indies,England,Neutral,Neutral,First,Second
29,ODI # 33,Australia,West Indies,Winner1stInning,Lord's,"Jun 21, 1975",West Indies,England,Neutral,Neutral,Second,First
30,ODI # 34,Australia,West Indies,Winner2ndInning,Adelaide,"Dec 20, 1975",Australia,Australia,Home,Away,Second,First
31,ODI # 35,New Zealand,India,Winner2ndInning,Christchurch,"Feb 21, 1976",New Zealand,New Zealand,Home,Away,Second,First
32,ODI # 36,New Zealand,India,Winner1stInning,Auckland,"Feb 22, 1976",New Zealand,New Zealand,Home,Away,First,Second
33,ODI # 37,England,West Indies,Winner2ndInning,Scarborough,"Aug 26, 1976",West Indies,England,Home,Away,First,Second
