,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,West Indies,New Zealand,3 wickets,Auckland,"Jan 2, 2000",ODI # 1532
1,New Zealand,West Indies,New Zealand,7 wickets,Taupo,"Jan 4, 2000",ODI # 1533
2,New Zealand,West Indies,New Zealand,4 wickets,Napier,"Jan 6, 2000",ODI # 1534
3,New Zealand,West Indies,New Zealand,8 wickets,Wellington,"Jan 8-9, 2000",ODI # 1535
4,Australia,Pakistan,Pakistan,45 runs,Brisbane,"Jan 9, 2000",ODI # 1536
5,India,Pakistan,Pakistan,2 wickets,Brisbane,"Jan 10, 2000",ODI # 1537
6,New Zealand,West Indies,New Zealand,20 runs,Christchurch,"Jan 11, 2000",ODI # 1538
7,Australia,India,Australia,28 runs,Melbourne,"Jan 12, 2000",ODI # 1539
8,Australia,India,Australia,5 wickets,Sydney,"Jan 14, 2000",ODI # 1540
9,Australia,Pakistan,Australia,6 wickets,Melbourne,"Jan 16, 2000",ODI # 1541
10,Australia,Pakistan,Australia,81 runs,Sydney,"Jan 19, 2000",ODI # 1542
11,India,Pakistan,Pakistan,32 runs,Hobart,"Jan 21, 2000",ODI # 1543
12,South Africa,Zimbabwe,South Africa,6 wickets,Johannesburg,"Jan 21, 2000",ODI # 1544
13,Australia,Pakistan,Australia,15 runs,Melbourne,"Jan 23, 2000",ODI # 1545
14,South Africa,England,England,9 wickets,Bloemfontein,"Jan 23, 2000",ODI # 1546
15,India,Pakistan,India,48 runs,Adelaide,"Jan 25, 2000",ODI # 1547
16,Australia,India,Australia,152 runs,Adelaide,"Jan 26, 2000",ODI # 1548
17,South Africa,England,South Africa,1 run,Cape Town,"Jan 26, 2000",ODI # 1549
18,India,Pakistan,Pakistan,104 runs,Perth,"Jan 28, 2000",ODI # 1550
19,England,Zimbabwe,Zimbabwe,104 runs,Cape Town,"Jan 28, 2000",ODI # 1551
20,Australia,India,Australia,4 wickets,Perth,"Jan 30, 2000",ODI # 1552
21,England,Zimbabwe,England,8 wickets,Kimberley,"Jan 30, 2000",ODI # 1553
22,Australia,Pakistan,Australia,6 wickets,Melbourne,"Feb 2, 2000",ODI # 1554
23,South Africa,Zimbabwe,Zimbabwe,2 wickets,Durban,"Feb 2, 2000",ODI # 1555
24,Australia,Pakistan,Australia,152 runs,Sydney,"Feb 4, 2000",ODI # 1556
25,South Africa,England,South Africa,2 wickets,East London,"Feb 4, 2000",ODI # 1557
26,South Africa,Zimbabwe,South Africa,53 runs,Port Elizabeth,"Feb 6, 2000",ODI # 1558
27,Pakistan,Sri Lanka,Sri Lanka,29 runs,Karachi,"Feb 13, 2000",ODI # 1559
28,South Africa,England,South Africa,38 runs,Johannesburg,"Feb 13, 2000",ODI # 1560
29,Pakistan,Sri Lanka,Sri Lanka,34 runs,Gujranwala,"Feb 16, 2000",ODI # 1561
30,Zimbabwe,England,England,5 wickets,Bulawayo,"Feb 16, 2000",ODI # 1562
31,New Zealand,Australia,no result,,Wellington,"Feb 17, 2000",ODI # 1563
32,Zimbabwe,England,England,1 wicket,Bulawayo,"Feb 18, 2000",ODI # 1564
33,New Zealand,Australia,Australia,5 wickets,Auckland,"Feb 19, 2000",ODI # 1565
34,Pakistan,Sri Lanka,Sri Lanka,104 runs,Lahore,"Feb 19, 2000",ODI # 1566
35,Zimbabwe,England,England,85 runs,Harare,"Feb 20, 2000",ODI # 1567
36,New Zealand,Australia,Australia,50 runs,Dunedin,"Feb 23, 2000",ODI # 1568
37,New Zealand,Australia,Australia,48 runs,Christchurch,"Feb 26, 2000",ODI # 1569
38,New Zealand,Australia,Australia,5 wickets,Napier,"Mar 1, 2000",ODI # 1570
39,New Zealand,Australia,New Zealand,7 wickets,Auckland,"Mar 3, 2000",ODI # 1571
40,India,South Africa,India,3 wickets,Kochi,"Mar 9, 2000",ODI # 1572
41,India,South Africa,India,6 wickets,Jamshedpur,"Mar 12, 2000",ODI # 1573
42,India,South Africa,South Africa,2 wickets,Faridabad,"Mar 15, 2000",ODI # 1574
43,India,South Africa,India,4 wickets,Vadodara,"Mar 17, 2000",ODI # 1575
44,India,South Africa,South Africa,10 runs,Nagpur,"Mar 19, 2000",ODI # 1576
45,India,South Africa,South Africa,10 wickets,Sharjah,"Mar 22, 2000",ODI # 1577
46,India,Pakistan,India,5 wickets,Sharjah,"Mar 23, 2000",ODI # 1578
47,Pakistan,South Africa,South Africa,3 wickets,Sharjah,"Mar 24, 2000",ODI # 1579
48,India,Pakistan,Pakistan,98 runs,Sharjah,"Mar 26, 2000",ODI # 1580
49,India,South Africa,South Africa,6 wickets,Sharjah,"Mar 27, 2000",ODI # 1581
50,Pakistan,South Africa,Pakistan,67 runs,Sharjah,"Mar 28, 2000",ODI # 1582
51,Pakistan,South Africa,Pakistan,16 runs,Sharjah,"Mar 31, 2000",ODI # 1583
52,West Indies,Zimbabwe,West Indies,87 runs,Kingston,"Apr 1, 2000",ODI # 1584
53,West Indies,Zimbabwe,West Indies,41 runs,Kingston,"Apr 2, 2000",ODI # 1585
54,Pakistan,Zimbabwe,Pakistan,5 wickets,St John's,"Apr 5, 2000",ODI # 1586
55,South Africa,Australia,South Africa,6 wickets,Durban,"Apr 12, 2000",ODI # 1587
56,West Indies,Pakistan,West Indies,96 runs,Kingstown,"Apr 12, 2000",ODI # 1588
57,South Africa,Australia,Australia,5 wickets,Cape Town,"Apr 14, 2000",ODI # 1589
58,Pakistan,Zimbabwe,Pakistan,6 wickets,St George's,"Apr 15, 2000",ODI # 1590
59,South Africa,Australia,South Africa,4 wickets,Johannesburg,"Apr 16, 2000",ODI # 1591
60,West Indies,Pakistan,West Indies,17 runs,St George's,"Apr 16, 2000",ODI # 1592
61,West Indies,Pakistan,Pakistan,17 runs,Bridgetown,"Apr 19, 2000",ODI # 1593
62,West Indies,Pakistan,West Indies,60 runs,Port of Spain,"Apr 22, 2000",ODI # 1594
63,West Indies,Pakistan,Pakistan,4 wickets,Port of Spain,"Apr 23, 2000",ODI # 1595
64,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,"May 29, 2000",ODI # 1596
65,Bangladesh,India,India,8 wickets,Dhaka,"May 30-31, 2000",ODI # 1597
66,India,Sri Lanka,Sri Lanka,71 runs,Dhaka,"Jun 1, 2000",ODI # 1598
