Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 3225,South Africa,Sri Lanka,South Africa,258 runs,Paarl,"Jan 11, 2012"
ODI # 3226,South Africa,Sri Lanka,South Africa,5 wickets,East London,"Jan 14, 2012"
ODI # 3227,South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein,"Jan 17, 2012"
ODI # 3228,South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley,"Jan 20, 2012"
ODI # 3229,South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg,"Jan 22, 2012"
ODI # 3230,New Zealand,Zimbabwe,New Zealand,90 runs,Dunedin,"Feb 3, 2012"
ODI # 3231,Australia,India,Australia,65 runs,Melbourne,"Feb 5, 2012"
ODI # 3232,New Zealand,Zimbabwe,New Zealand,141 runs,Whangarei,"Feb 6, 2012"
ODI # 3233,India,Sri Lanka,India,4 wickets,Perth,"Feb 8, 2012"
ODI # 3234,New Zealand,Zimbabwe,New Zealand,202 runs,Napier,"Feb 9, 2012"
ODI # 3235,Australia,Sri Lanka,Australia,5 runs,Perth,"Feb 10, 2012"
ODI # 3236,Afghanistan,Pakistan,Pakistan,7 wickets,Sharjah,"Feb 10, 2012"
ODI # 3237,Australia,India,India,4 wickets,Adelaide,"Feb 12, 2012"
ODI # 3238,England,Pakistan,England,130 runs,Abu Dhabi,"Feb 13, 2012"
ODI # 3239,India,Sri Lanka,tied,,Adelaide,"Feb 14, 2012"
ODI # 3240,England,Pakistan,England,20 runs,Abu Dhabi,"Feb 15, 2012"
ODI # 3241,Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney,"Feb 17, 2012"
ODI # 3242,Kenya,Ireland,Kenya,7 wickets,Mombasa,"Feb 18, 2012"
ODI # 3243,England,Pakistan,England,9 wickets,Dubai (DSC),"Feb 18, 2012"
ODI # 3244,Australia,India,Australia,110 runs,Brisbane,"Feb 19, 2012"
ODI # 3245,Kenya,Ireland,Ireland,117 runs,Mombasa,"Feb 20, 2012"
ODI # 3246,India,Sri Lanka,Sri Lanka,51 runs,Brisbane,"Feb 21, 2012"
ODI # 3247,England,Pakistan,England,4 wickets,Dubai (DSC),"Feb 21, 2012"
ODI # 3248,Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,"Feb 24, 2012"
ODI # 3249,New Zealand,South Africa,South Africa,6 wickets,Wellington,"Feb 25, 2012"
ODI # 3250,Australia,India,Australia,87 runs,Sydney,"Feb 26, 2012"
ODI # 3251,India,Sri Lanka,India,7 wickets,Hobart,"Feb 28, 2012"
ODI # 3252,New Zealand,South Africa,South Africa,6 wickets,Napier,"Feb 29, 2012"
ODI # 3253,Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne,"Mar 2, 2012"
ODI # 3254,New Zealand,South Africa,South Africa,5 wickets,Auckland,"Mar 3, 2012"
ODI # 3255,Australia,Sri Lanka,Australia,15 runs,Brisbane,"Mar 4, 2012"
ODI # 3256,Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,"Mar 6, 2012"
ODI # 3257,Australia,Sri Lanka,Australia,16 runs,Adelaide,"Mar 8, 2012"
ODI # 3258,Bangladesh,Pakistan,Pakistan,21 runs,Dhaka,"Mar 11, 2012"
ODI # 3259,India,Sri Lanka,India,50 runs,Dhaka,"Mar 13, 2012"
ODI # 3260,Pakistan,Sri Lanka,Pakistan,6 wickets,Dhaka,"Mar 15, 2012"
ODI # 3261,Bangladesh,India,Bangladesh,5 wickets,Dhaka,"Mar 16, 2012"
ODI # 3262,West Indies,Australia,Australia,64 runs,Kingstown,"Mar 16, 2012"
ODI # 3263,India,Pakistan,India,6 wickets,Dhaka,"Mar 18, 2012"
ODI # 3264,West Indies,Australia,West Indies,5 wickets,Kingstown,"Mar 18, 2012"
ODI # 3265,Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,"Mar 20, 2012"
ODI # 3266,West Indies,Australia,tied,,Kingstown,"Mar 20, 2012"
ODI # 3267,Bangladesh,Pakistan,Pakistan,2 runs,Dhaka,"Mar 22, 2012"
ODI # 3268,West Indies,Australia,West Indies,42 runs,Gros Islet,"Mar 23, 2012"
ODI # 3269,West Indies,Australia,Australia,30 runs,Gros Islet,"Mar 25, 2012"
ODI # 3270,Afghanistan,Netherlands,Netherlands,9 wickets,Sharjah,"Mar 29, 2012"
ODI # 3271,Afghanistan,Netherlands,Afghanistan,5 wickets,Sharjah,"Mar 31, 2012"
ODI # 3272,Sri Lanka,Pakistan,Pakistan,6 wickets,Pallekele,"Jun 7, 2012"
ODI # 3273,Sri Lanka,Pakistan,Sri Lanka,76 runs,Pallekele,"Jun 9, 2012"
ODI # 3274,Sri Lanka,Pakistan,no result,,Colombo (RPS),"Jun 13, 2012"
ODI # 3275,Sri Lanka,Pakistan,Sri Lanka,44 runs,Colombo (RPS),"Jun 16, 2012"
ODI # 3276,England,West Indies,England,114 runs,Southampton,"Jun 16, 2012"
ODI # 3277,Sri Lanka,Pakistan,Sri Lanka,2 wickets,Colombo (RPS),"Jun 18, 2012"
ODI # 3278,England,West Indies,England,8 wickets,The Oval,"Jun 19, 2012"
ODI # 3279,Ireland,Australia,no result,,Belfast,"Jun 23, 2012"
ODI # 3280,England,Australia,England,15 runs,Lord's,"Jun 29, 2012"
ODI # 3281,England,Australia,England,6 wickets,The Oval,"Jul 1, 2012"
ODI # 3282,Ireland,Afghanistan,Ireland,59 runs,Dublin,"Jul 5, 2012"
ODI # 3283,West Indies,New Zealand,West Indies,9 wickets,Kingston,"Jul 5, 2012"
ODI # 3284,England,Australia,England,8 wickets,Chester-le-Street,"Jul 7, 2012"
ODI # 3285,West Indies,New Zealand,West Indies,55 runs,Kingston,"Jul 7, 2012"
ODI # 3286,England,Australia,England,7 wickets,Manchester,"Jul 10, 2012"
ODI # 3287,Scotland,Canada,Scotland,4 wickets,Ayr,"Jul 11-12, 2012"
ODI # 3288,West Indies,New Zealand,New Zealand,88 runs,Basseterre,"Jul 11, 2012"
ODI # 3289,West Indies,New Zealand,West Indies,24 runs,Basseterre,"Jul 14, 2012"
ODI # 3290,West Indies,New Zealand,West Indies,20 runs,Basseterre,"Jul 16, 2012"
ODI # 3291,Sri Lanka,India,India,21 runs,Hambantota,"Jul 21, 2012"
ODI # 3292,Sri Lanka,India,Sri Lanka,9 wickets,Hambantota,"Jul 24, 2012"
ODI # 3293,Sri Lanka,India,India,5 wickets,Colombo (RPS),"Jul 28, 2012"
ODI # 3294,Sri Lanka,India,India,6 wickets,Colombo (RPS),"Jul 31, 2012"
ODI # 3295,Sri Lanka,India,India,20 runs,Pallekele,"Aug 4, 2012"
ODI # 3296,England,South Africa,no result,,Cardiff,"Aug 24, 2012"
ODI # 3297,Afghanistan,Australia,Australia,66 runs,Sharjah,"Aug 25, 2012"
ODI # 3298,England,South Africa,South Africa,80 runs,Southampton,"Aug 28, 2012"
ODI # 3299,Australia,Pakistan,Australia,4 wickets,Sharjah,"Aug 28, 2012"
ODI # 3300,England,South Africa,England,4 wickets,The Oval,"Aug 31, 2012"
ODI # 3301,Australia,Pakistan,Pakistan,7 wickets,Abu Dhabi,"Aug 31, 2012"
ODI # 3302,England,South Africa,England,6 wickets,Lord's,"Sep 2, 2012"
ODI # 3303,Australia,Pakistan,Australia,3 wickets,Sharjah,"Sep 3, 2012"
ODI # 3304,England,South Africa,South Africa,7 wickets,Nottingham,"Sep 5, 2012"
ODI # 3305,Sri Lanka,New Zealand,Sri Lanka,14 runs,Pallekele,"Nov 4, 2012"
ODI # 3306,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Pallekele,"Nov 6, 2012"
ODI # 3307,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Hambantota,"Nov 10, 2012"
ODI # 3308,Sri Lanka,New Zealand,no result,,Hambantota,"Nov 12, 2012"
ODI # 3309,Bangladesh,West Indies,Bangladesh,7 wickets,Khulna,"Nov 30, 2012"
ODI # 3310,Bangladesh,West Indies,Bangladesh,160 runs,Khulna,"Dec 2, 2012"
ODI # 3311,Bangladesh,West Indies,West Indies,4 wickets,Dhaka,"Dec 5, 2012"
ODI # 3312,Bangladesh,West Indies,West Indies,75 runs,Dhaka,"Dec 7, 2012"
ODI # 3313,Bangladesh,West Indies,Bangladesh,2 wickets,Dhaka,"Dec 8, 2012"
ODI # 3314,India,Pakistan,Pakistan,6 wickets,Chennai,"Dec 30, 2012"
