Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 3817,Australia,Pakistan,Australia,92 runs,Brisbane,"Jan 13, 2017"
ODI # 3818,Australia,Pakistan,Pakistan,6 wickets,Melbourne,"Jan 15, 2017"
ODI # 3819,India,England,India,3 wickets,Pune,"Jan 15, 2017"
ODI # 3820,Australia,Pakistan,Australia,7 wickets,Perth,"Jan 19, 2017"
ODI # 3821,India,England,India,15 runs,Cuttack,"Jan 19, 2017"
ODI # 3822,Australia,Pakistan,Australia,86 runs,Sydney,"Jan 22, 2017"
ODI # 3823,Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,"Jan 22, 2017"
ODI # 3824,India,England,England,5 runs,Kolkata,"Jan 22, 2017"
ODI # 3825,U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC),"Jan 24, 2017"
ODI # 3826,Australia,Pakistan,Australia,57 runs,Adelaide,"Jan 26, 2017"
ODI # 3827,U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC),"Jan 26, 2017"
ODI # 3828,South Africa,Sri Lanka,South Africa,8 wickets,Port Elizabeth,"Jan 28, 2017"
ODI # 3829,New Zealand,Australia,New Zealand,6 runs,Auckland,"Jan 30, 2017"
ODI # 3830,South Africa,Sri Lanka,South Africa,121 runs,Durban,"Feb 1, 2017"
ODI # 3831,South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,"Feb 4, 2017"
ODI # 3832,New Zealand,Australia,New Zealand,24 runs,Hamilton,"Feb 5, 2017"
ODI # 3833,South Africa,Sri Lanka,South Africa,40 runs,Cape Town,"Feb 7, 2017"
ODI # 3834,South Africa,Sri Lanka,South Africa,88 runs,Centurion,"Feb 10, 2017"
ODI # 3835,Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,"Feb 16, 2017"
ODI # 3836,New Zealand,South Africa,South Africa,4 wickets,Hamilton,"Feb 19, 2017"
ODI # 3837,Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,"Feb 19, 2017"
ODI # 3838,Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,"Feb 21, 2017"
ODI # 3839,New Zealand,South Africa,New Zealand,6 runs,Christchurch,"Feb 22, 2017"
ODI # 3840,Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,"Feb 24, 2017"
ODI # 3841,New Zealand,South Africa,South Africa,159 runs,Wellington,"Feb 25, 2017"
ODI # 3842,Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,"Feb 26, 2017"
ODI # 3843,New Zealand,South Africa,New Zealand,7 wickets,Hamilton,"Mar 1, 2017"
ODI # 3844,U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,"Mar 2, 2017"
ODI # 3845,West Indies,England,England,45 runs,North Sound,"Mar 3, 2017"
ODI # 3846,New Zealand,South Africa,South Africa,6 wickets,Auckland,"Mar 4, 2017"
ODI # 3847,U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,"Mar 4, 2017"
ODI # 3848,West Indies,England,England,4 wickets,North Sound,"Mar 5, 2017"
ODI # 3849,West Indies,England,England,186 runs,Bridgetown,"Mar 9, 2017"
ODI # 3850,Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,"Mar 15, 2017"
ODI # 3851,Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,"Mar 17, 2017"
ODI # 3852,Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,"Mar 19, 2017"
ODI # 3853,Afghanistan,Ireland,Ireland,3 wickets,Greater Noida,"Mar 22, 2017"
ODI # 3854,Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida,"Mar 24, 2017"
ODI # 3855,Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,"Mar 25, 2017"
ODI # 3856,Sri Lanka,Bangladesh,no result,,Dambulla,"Mar 28, 2017"
ODI # 3857,U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi,"Mar 31, 2017"
ODI # 3858,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),"Apr 1, 2017"
ODI # 3859,U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi,"Apr 2, 2017"
ODI # 3860,U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi,"Apr 4, 2017"
ODI # 3861,West Indies,Pakistan,West Indies,4 wickets,Providence,"Apr 7, 2017"
ODI # 3862,West Indies,Pakistan,Pakistan,74 runs,Providence,"Apr 9, 2017"
ODI # 3863,West Indies,Pakistan,Pakistan,6 wickets,Providence,"Apr 11, 2017"
ODI # 3864,England,Ireland,England,7 wickets,Bristol,"May 5, 2017"
ODI # 3865,England,Ireland,England,85 runs,Lord's,"May 7, 2017"
ODI # 3866,Ireland,Bangladesh,no result,,Dublin (Malahide),"May 12, 2017"
ODI # 3867,Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide),"May 14, 2017"
ODI # 3868,Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,"May 17, 2017"
ODI # 3869,Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),"May 19, 2017"
ODI # 3870,Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),"May 21, 2017"
ODI # 3871,Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,"May 24, 2017"
ODI # 3872,England,South Africa,England,72 runs,Leeds,"May 24, 2017"
ODI # 3873,England,South Africa,England,2 runs,Southampton,"May 27, 2017"
ODI # 3874,England,South Africa,South Africa,7 wickets,Lord's,"May 29, 2017"
ODI # 3875,England,Bangladesh,England,8 wickets,The Oval,"Jun 1, 2017"
ODI # 3876,Australia,New Zealand,no result,,Birmingham,"Jun 2, 2017"
ODI # 3877,South Africa,Sri Lanka,South Africa,96 runs,The Oval,"Jun 3, 2017"
ODI # 3878,India,Pakistan,India,124 runs,Birmingham,"Jun 4, 2017"
ODI # 3879,Australia,Bangladesh,no result,,The Oval,"Jun 5, 2017"
ODI # 3880,England,New Zealand,England,87 runs,Cardiff,"Jun 6, 2017"
ODI # 3881,Pakistan,South Africa,Pakistan,19 runs,Birmingham,"Jun 7, 2017"
ODI # 3882,India,Sri Lanka,Sri Lanka,7 wickets,The Oval,"Jun 8, 2017"
ODI # 3883,Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,"Jun 9, 2017"
ODI # 3884,West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet,"Jun 9, 2017"
ODI # 3885,England,Australia,England,40 runs,Birmingham,"Jun 10, 2017"
ODI # 3886,India,South Africa,India,8 wickets,The Oval,"Jun 11, 2017"
ODI # 3887,West Indies,Afghanistan,West Indies,4 wickets,Gros Islet,"Jun 11, 2017"
ODI # 3888,Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,"Jun 12, 2017"
ODI # 3889,England,Pakistan,Pakistan,8 wickets,Cardiff,"Jun 14, 2017"
ODI # 3890,West Indies,Afghanistan,no result,,Gros Islet,"Jun 14, 2017"
ODI # 3891,Bangladesh,India,India,9 wickets,Birmingham,"Jun 15, 2017"
ODI # 3892,Scotland,Zimbabwe,Scotland,26 runs,Edinburgh,"Jun 15, 2017"
ODI # 3893,Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,"Jun 17, 2017"
ODI # 3894,India,Pakistan,Pakistan,180 runs,The Oval,"Jun 18, 2017"
ODI # 3895,West Indies,India,no result,,Port of Spain,"Jun 23, 2017"
ODI # 3896,West Indies,India,India,105 runs,Port of Spain,"Jun 25, 2017"
ODI # 3897,Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,"Jun 30, 2017"
ODI # 3898,West Indies,India,India,93 runs,North Sound,"Jun 30, 2017"
ODI # 3899,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,"Jul 2, 2017"
ODI # 3900,West Indies,India,West Indies,11 runs,North Sound,"Jul 2, 2017"
ODI # 3901,Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,"Jul 6, 2017"
ODI # 3902,West Indies,India,India,8 wickets,Kingston,"Jul 6, 2017"
ODI # 3903,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,"Jul 8, 2017"
ODI # 3904,Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,"Jul 10, 2017"
ODI # 3905,Sri Lanka,India,India,9 wickets,Dambulla,"Aug 20, 2017"
ODI # 3906,Sri Lanka,India,India,3 wickets,Pallekele,"Aug 24, 2017"
ODI # 3907,Sri Lanka,India,India,6 wickets,Pallekele,"Aug 27, 2017"
ODI # 3908,Sri Lanka,India,India,168 runs,Colombo (RPS),"Aug 31, 2017"
ODI # 3909,Sri Lanka,India,India,6 wickets,Colombo (RPS),"Sep 3, 2017"
ODI # 3910,India,Australia,India,26 runs,Chennai,"Sep 17, 2017"
ODI # 3911,England,West Indies,England,7 wickets,Manchester,"Sep 19, 2017"
ODI # 3912,India,Australia,India,50 runs,Kolkata,"Sep 21, 2017"
ODI # 3913,England,West Indies,no result,,Nottingham,"Sep 21, 2017"
ODI # 3914,India,Australia,India,5 wickets,Indore,"Sep 24, 2017"
ODI # 3915,England,West Indies,England,124 runs,Bristol,"Sep 24, 2017"
ODI # 3916,England,West Indies,England,6 runs,The Oval,"Sep 27, 2017"
ODI # 3917,India,Australia,Australia,21 runs,Bengaluru,"Sep 28, 2017"
ODI # 3918,England,West Indies,England,9 wickets,Southampton,"Sep 29, 2017"
