Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner
ODI # 1532,New Zealand,West Indies,3 wickets,Auckland,"Jan 2, 2000",New Zealand
ODI # 1533,New Zealand,West Indies,7 wickets,Taupo,"Jan 4, 2000",New Zealand
ODI # 1534,New Zealand,West Indies,4 wickets,Napier,"Jan 6, 2000",New Zealand
ODI # 1535,New Zealand,West Indies,8 wickets,Wellington,"Jan 8-9, 2000",New Zealand
ODI # 1536,Australia,Pakistan,45 runs,Brisbane,"Jan 9, 2000",Pakistan
ODI # 1537,India,Pakistan,2 wickets,Brisbane,"Jan 10, 2000",Pakistan
ODI # 1538,New Zealand,West Indies,20 runs,Christchurch,"Jan 11, 2000",New Zealand
ODI # 1539,Australia,India,28 runs,Melbourne,"Jan 12, 2000",Australia
ODI # 1540,Australia,India,5 wickets,Sydney,"Jan 14, 2000",Australia
ODI # 1541,Australia,Pakistan,6 wickets,Melbourne,"Jan 16, 2000",Australia
ODI # 1542,Australia,Pakistan,81 runs,Sydney,"Jan 19, 2000",Australia
ODI # 1543,India,Pakistan,32 runs,Hobart,"Jan 21, 2000",Pakistan
ODI # 1544,South Africa,Zimbabwe,6 wickets,Johannesburg,"Jan 21, 2000",South Africa
ODI # 1545,Australia,Pakistan,15 runs,Melbourne,"Jan 23, 2000",Australia
ODI # 1546,South Africa,England,9 wickets,Bloemfontein,"Jan 23, 2000",England
ODI # 1547,India,Pakistan,48 runs,Adelaide,"Jan 25, 2000",India
ODI # 1548,Australia,India,152 runs,Adelaide,"Jan 26, 2000",Australia
ODI # 1549,South Africa,England,1 run,Cape Town,"Jan 26, 2000",South Africa
ODI # 1550,India,Pakistan,104 runs,Perth,"Jan 28, 2000",Pakistan
ODI # 1551,England,Zimbabwe,104 runs,Cape Town,"Jan 28, 2000",Zimbabwe
ODI # 1552,Australia,India,4 wickets,Perth,"Jan 30, 2000",Australia
ODI # 1553,England,Zimbabwe,8 wickets,Kimberley,"Jan 30, 2000",England
ODI # 1554,Australia,Pakistan,6 wickets,Melbourne,"Feb 2, 2000",Australia
ODI # 1555,South Africa,Zimbabwe,2 wickets,Durban,"Feb 2, 2000",Zimbabwe
ODI # 1556,Australia,Pakistan,152 runs,Sydney,"Feb 4, 2000",Australia
ODI # 1557,South Africa,England,2 wickets,East London,"Feb 4, 2000",South Africa
ODI # 1558,South Africa,Zimbabwe,53 runs,Port Elizabeth,"Feb 6, 2000",South Africa
ODI # 1559,Pakistan,Sri Lanka,29 runs,Karachi,"Feb 13, 2000",Sri Lanka
ODI # 1560,South Africa,England,38 runs,Johannesburg,"Feb 13, 2000",South Africa
ODI # 1561,Pakistan,Sri Lanka,34 runs,Gujranwala,"Feb 16, 2000",Sri Lanka
ODI # 1562,Zimbabwe,England,5 wickets,Bulawayo,"Feb 16, 2000",England
ODI # 1563,New Zealand,Australia,,Wellington,"Feb 17, 2000",no result
ODI # 1564,Zimbabwe,England,1 wicket,Bulawayo,"Feb 18, 2000",England
ODI # 1565,New Zealand,Australia,5 wickets,Auckland,"Feb 19, 2000",Australia
ODI # 1566,Pakistan,Sri Lanka,104 runs,Lahore,"Feb 19, 2000",Sri Lanka
ODI # 1567,Zimbabwe,England,85 runs,Harare,"Feb 20, 2000",England
ODI # 1568,New Zealand,Australia,50 runs,Dunedin,"Feb 23, 2000",Australia
ODI # 1569,New Zealand,Australia,48 runs,Christchurch,"Feb 26, 2000",Australia
ODI # 1570,New Zealand,Australia,5 wickets,Napier,"Mar 1, 2000",Australia
ODI # 1571,New Zealand,Australia,7 wickets,Auckland,"Mar 3, 2000",New Zealand
ODI # 1572,India,South Africa,3 wickets,Kochi,"Mar 9, 2000",India
ODI # 1573,India,South Africa,6 wickets,Jamshedpur,"Mar 12, 2000",India
ODI # 1574,India,South Africa,2 wickets,Faridabad,"Mar 15, 2000",South Africa
ODI # 1575,India,South Africa,4 wickets,Vadodara,"Mar 17, 2000",India
ODI # 1576,India,South Africa,10 runs,Nagpur,"Mar 19, 2000",South Africa
ODI # 1577,India,South Africa,10 wickets,Sharjah,"Mar 22, 2000",South Africa
ODI # 1578,India,Pakistan,5 wickets,Sharjah,"Mar 23, 2000",India
ODI # 1579,Pakistan,South Africa,3 wickets,Sharjah,"Mar 24, 2000",South Africa
ODI # 1580,India,Pakistan,98 runs,Sharjah,"Mar 26, 2000",Pakistan
ODI # 1581,India,South Africa,6 wickets,Sharjah,"Mar 27, 2000",South Africa
ODI # 1582,Pakistan,South Africa,67 runs,Sharjah,"Mar 28, 2000",Pakistan
ODI # 1583,Pakistan,South Africa,16 runs,Sharjah,"Mar 31, 2000",Pakistan
ODI # 1584,West Indies,Zimbabwe,87 runs,Kingston,"Apr 1, 2000",West Indies
ODI # 1585,West Indies,Zimbabwe,41 runs,Kingston,"Apr 2, 2000",West Indies
ODI # 1586,Pakistan,Zimbabwe,5 wickets,St John's,"Apr 5, 2000",Pakistan
ODI # 1587,South Africa,Australia,6 wickets,Durban,"Apr 12, 2000",South Africa
ODI # 1588,West Indies,Pakistan,96 runs,Kingstown,"Apr 12, 2000",West Indies
ODI # 1589,South Africa,Australia,5 wickets,Cape Town,"Apr 14, 2000",Australia
ODI # 1590,Pakistan,Zimbabwe,6 wickets,St George's,"Apr 15, 2000",Pakistan
ODI # 1591,South Africa,Australia,4 wickets,Johannesburg,"Apr 16, 2000",South Africa
ODI # 1592,West Indies,Pakistan,17 runs,St George's,"Apr 16, 2000",West Indies
ODI # 1593,West Indies,Pakistan,17 runs,Bridgetown,"Apr 19, 2000",Pakistan
ODI # 1594,West Indies,Pakistan,60 runs,Port of Spain,"Apr 22, 2000",West Indies
ODI # 1595,West Indies,Pakistan,4 wickets,Port of Spain,"Apr 23, 2000",Pakistan
ODI # 1596,Bangladesh,Sri Lanka,9 wickets,Dhaka,"May 29, 2000",Sri Lanka
ODI # 1597,Bangladesh,India,8 wickets,Dhaka,"May 30-31, 2000",India
ODI # 1598,India,Sri Lanka,71 runs,Dhaka,"Jun 1, 2000",Sri Lanka
ODI # 1599,Bangladesh,Pakistan,233 runs,Dhaka,"Jun 2, 2000",Pakistan
ODI # 1600,India,Pakistan,44 runs,Dhaka,"Jun 3, 2000",Pakistan
ODI # 1601,Pakistan,Sri Lanka,7 wickets,Dhaka,"Jun 5, 2000",Pakistan
ODI # 1602,Pakistan,Sri Lanka,39 runs,Dhaka,"Jun 7, 2000",Pakistan
ODI # 1603,Sri Lanka,Pakistan,5 wickets,Galle,"Jul 5, 2000",Sri Lanka
ODI # 1604,Sri Lanka,South Africa,37 runs,Galle,"Jul 6, 2000",Sri Lanka
ODI # 1605,West Indies,Zimbabwe,6 wickets,Bristol,"Jul 6, 2000",Zimbabwe
ODI # 1606,Pakistan,South Africa,18 runs,Colombo (RPS),"Jul 8, 2000",South Africa
ODI # 1607,England,Zimbabwe,5 wickets,The Oval,"Jul 8, 2000",Zimbabwe
ODI # 1608,Sri Lanka,Pakistan,6 wickets,Colombo (RPS),"Jul 9, 2000",Sri Lanka
ODI # 1609,England,West Indies,,Lord's,"Jul 9, 2000",no result
ODI # 1610,Sri Lanka,South Africa,8 wickets,Colombo (SSC),"Jul 11, 2000",Sri Lanka
ODI # 1611,West Indies,Zimbabwe,70 runs,Canterbury,"Jul 11, 2000",Zimbabwe
ODI # 1612,Pakistan,South Africa,7 wickets,Colombo (SSC),"Jul 12, 2000",South Africa
ODI # 1613,England,Zimbabwe,8 wickets,Manchester,"Jul 13, 2000",England
ODI # 1614,Sri Lanka,South Africa,30 runs,Colombo (RPS),"Jul 14, 2000",Sri Lanka
ODI # 1615,England,West Indies,10 wickets,Chester-le-Street,"Jul 15, 2000",England
ODI # 1616,West Indies,Zimbabwe,6 wickets,Chester-le-Street,"Jul 16, 2000",Zimbabwe
ODI # 1617,England,Zimbabwe,52 runs,Birmingham,"Jul 18, 2000",England
ODI # 1618,England,West Indies,3 runs,Nottingham,"Jul 20, 2000",West Indies
ODI # 1619,England,Zimbabwe,6 wickets,Lord's,"Jul 22, 2000",England
ODI # 1620,Australia,South Africa,94 runs,Melbourne (Docklands),"Aug 16, 2000",Australia
ODI # 1621,Australia,South Africa,,Melbourne (Docklands),"Aug 18, 2000",tied
ODI # 1622,Australia,South Africa,8 runs,Melbourne (Docklands),"Aug 20, 2000",South Africa
ODI # 1623,New Zealand,Pakistan,12 runs,Singapore,"Aug 20, 2000",Pakistan
ODI # 1624,Pakistan,South Africa,28 runs,Singapore,"Aug 23, 2000",Pakistan
ODI # 1625,New Zealand,South Africa,8 wickets,Singapore,"Aug 25, 2000",South Africa
ODI # 1626,Pakistan,South Africa,93 runs,Singapore,"Aug 27, 2000",South Africa
ODI # 1627,Zimbabwe,New Zealand,7 wickets,Harare,"Sep 27, 2000",New Zealand
ODI # 1628,Zimbabwe,New Zealand,21 runs,Bulawayo,"Sep 30, 2000",Zimbabwe
ODI # 1629,Zimbabwe,New Zealand,6 wickets,Bulawayo,"Oct 1, 2000",Zimbabwe
ODI # 1630,Kenya,India,8 wickets,Nairobi (Gym),"Oct 3, 2000",India
ODI # 1631,Sri Lanka,West Indies,108 runs,Nairobi (Gym),"Oct 4, 2000",Sri Lanka
ODI # 1632,Bangladesh,England,8 wickets,Nairobi (Gym),"Oct 5, 2000",England
ODI # 1633,Australia,India,20 runs,Nairobi (Gym),"Oct 7, 2000",India
ODI # 1634,Pakistan,Sri Lanka,9 wickets,Nairobi (Gym),"Oct 8, 2000",Pakistan
ODI # 1635,New Zealand,Zimbabwe,64 runs,Nairobi (Gym),"Oct 9, 2000",New Zealand
ODI # 1636,England,South Africa,8 wickets,Nairobi (Gym),"Oct 10, 2000",South Africa
ODI # 1637,New Zealand,Pakistan,4 wickets,Nairobi (Gym),"Oct 11, 2000",New Zealand
ODI # 1638,India,South Africa,95 runs,Nairobi (Gym),"Oct 13, 2000",India
ODI # 1639,India,New Zealand,4 wickets,Nairobi (Gym),"Oct 15, 2000",New Zealand
ODI # 1640,India,Sri Lanka,5 wickets,Sharjah,"Oct 20, 2000",Sri Lanka
ODI # 1641,South Africa,New Zealand,,Potchefstroom,"Oct 20, 2000",no result
ODI # 1642,Sri Lanka,Zimbabwe,7 wickets,Sharjah,"Oct 21, 2000",Sri Lanka
ODI # 1643,South Africa,New Zealand,6 wickets,Benoni,"Oct 22, 2000",South Africa
ODI # 1644,India,Zimbabwe,13 runs,Sharjah,"Oct 22, 2000",India
ODI # 1645,Pakistan,England,5 wickets,Karachi,"Oct 24, 2000",England
