,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Sri Lanka,New Zealand,4 wickets,Christchurch,"Jan 2, 2007",ODI # 2470
1,New Zealand,Sri Lanka,Sri Lanka,189 runs,Auckland,"Jan 6, 2007",ODI # 2471
2,New Zealand,Sri Lanka,no result,,Hamilton,"Jan 9, 2007",ODI # 2472
3,Australia,England,Australia,8 wickets,Melbourne,"Jan 12, 2007",ODI # 2473
4,Australia,New Zealand,Australia,105 runs,Hobart,"Jan 14, 2007",ODI # 2474
5,England,New Zealand,England,3 wickets,Hobart,"Jan 16, 2007",ODI # 2475
6,Kenya,Scotland,Kenya,190 runs,Mombasa,"Jan 17, 2007",ODI # 2476
7,Canada,Scotland,Scotland,2 wickets,Mombasa,"Jan 18, 2007",ODI # 2477
8,Australia,England,Australia,4 wickets,Brisbane,"Jan 19, 2007",ODI # 2478
9,Australia,New Zealand,Australia,2 wickets,Sydney,"Jan 21, 2007",ODI # 2479
10,India,West Indies,India,14 runs,Nagpur,"Jan 21, 2007",ODI # 2480
11,Kenya,Scotland,Kenya,6 runs,Mombasa,"Jan 21, 2007",ODI # 2481
12,England,New Zealand,New Zealand,90 runs,Adelaide,"Jan 23, 2007",ODI # 2482
13,Canada,Scotland,Scotland,2 wickets,Mombasa,"Jan 23, 2007",ODI # 2483
14,Kenya,Canada,Canada,69 runs,Mombasa,"Jan 24, 2007",ODI # 2484
15,India,West Indies,India,20 runs,Cuttack,"Jan 24, 2007",ODI # 2485
16,Australia,England,Australia,9 wickets,Adelaide,"Jan 26, 2007",ODI # 2486
17,India,West Indies,West Indies,3 wickets,Chennai,"Jan 27, 2007",ODI # 2487
18,Australia,New Zealand,Australia,8 runs,Perth,"Jan 28, 2007",ODI # 2488
19,Kenya,Bermuda,Kenya,10 wickets,Nairobi (Jaff),"Jan 29, 2007",ODI # 2489
20,England,New Zealand,New Zealand,58 runs,Perth,"Jan 30, 2007",ODI # 2490
21,Canada,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),"Jan 30, 2007",ODI # 2491
22,Ireland,Scotland,Scotland,3 wickets,Nairobi (Gym),"Jan 30, 2007",ODI # 2492
23,India,West Indies,India,160 runs,Vadodara,"Jan 31, 2007",ODI # 2493
24,Bermuda,Ireland,Ireland,4 wickets,Nairobi (Jaff),"Jan 31, 2007",ODI # 2494
25,Canada,Scotland,Scotland,7 runs,Nairobi (Ruaraka),"Jan 31, 2007",ODI # 2495
26,Kenya,Netherlands,Kenya,7 wickets,Nairobi (Gym),"Jan 31, 2007",ODI # 2496
27,Australia,England,England,92 runs,Sydney,"Feb 2, 2007",ODI # 2497
28,Bermuda,Canada,Canada,56 runs,Nairobi (Gym),"Feb 2, 2007",ODI # 2498
29,Kenya,Ireland,Kenya,1 wicket,Nairobi (Ruaraka),"Feb 2, 2007",ODI # 2499
30,Netherlands,Scotland,Scotland,2 runs,Nairobi (Jaff),"Feb 2, 2007",ODI # 2500
31,Australia,New Zealand,Australia,5 wickets,Melbourne,"Feb 4, 2007",ODI # 2501
32,Bermuda,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka),"Feb 4, 2007",ODI # 2502
33,Canada,Ireland,Canada,6 wickets,Nairobi (Jaff),"Feb 4, 2007",ODI # 2503
34,Kenya,Scotland,Scotland,77 runs,Nairobi (Gym),"Feb 4, 2007",ODI # 2504
35,Zimbabwe,Bangladesh,Bangladesh,45 runs,Harare,"Feb 4, 2007",ODI # 2505
36,South Africa,Pakistan,South Africa,164 runs,Centurion,"Feb 4, 2007",ODI # 2506
37,Bermuda,Scotland,Bermuda,5 wickets,Nairobi (Ruaraka),"Feb 5, 2007",ODI # 2507
38,Kenya,Canada,Kenya,158 runs,Nairobi (Jaff),"Feb 5, 2007",ODI # 2508
39,Ireland,Netherlands,Netherlands,6 runs,Nairobi (Gym),"Feb 5, 2007",ODI # 2509
40,England,New Zealand,England,14 runs,Brisbane,"Feb 6, 2007",ODI # 2510
41,Zimbabwe,Bangladesh,Zimbabwe,8 wickets,Harare,"Feb 6, 2007",ODI # 2511
42,Kenya,Scotland,Kenya,8 wickets,Nairobi (Gym),"Feb 7, 2007",ODI # 2512
43,South Africa,Pakistan,Pakistan,141 runs,Durban,"Feb 7, 2007",ODI # 2513
44,India,Sri Lanka,no result,,Kolkata,"Feb 8, 2007",ODI # 2514
45,Australia,England,England,4 wickets,Melbourne,"Feb 9, 2007",ODI # 2515
46,Zimbabwe,Bangladesh,Bangladesh,14 runs,Harare,"Feb 9, 2007",ODI # 2516
47,South Africa,Pakistan,no result,,Port Elizabeth,"Feb 9, 2007",ODI # 2517
48,Zimbabwe,Bangladesh,Bangladesh,1 wicket,Harare,"Feb 10, 2007",ODI # 2518
49,Australia,England,England,34 runs,Sydney,"Feb 11, 2007",ODI # 2519
50,India,Sri Lanka,Sri Lanka,5 runs,Rajkot,"Feb 11, 2007",ODI # 2520
51,South Africa,Pakistan,South Africa,10 wickets,Cape Town,"Feb 11, 2007",ODI # 2521
52,India,Sri Lanka,India,5 wickets,Margao,"Feb 14, 2007",ODI # 2522
53,South Africa,Pakistan,South Africa,9 wickets,Johannesburg,"Feb 14, 2007",ODI # 2523
54,New Zealand,Australia,New Zealand,10 wickets,Wellington,"Feb 16, 2007",ODI # 2524
55,India,Sri Lanka,India,7 wickets,Visakhapatnam,"Feb 17, 2007",ODI # 2525
56,New Zealand,Australia,New Zealand,5 wickets,Auckland,"Feb 18, 2007",ODI # 2526
57,New Zealand,Australia,New Zealand,1 wicket,Hamilton,"Feb 20, 2007",ODI # 2527
58,Bangladesh,Bermuda,Bangladesh,8 wickets,St John's,"Feb 25, 2007",ODI # 2528
59,Bermuda,Canada,Canada,3 wickets,St John's,"Feb 26, 2007",ODI # 2529
60,Bangladesh,Canada,Bangladesh,13 runs,St John's,"Feb 28, 2007",ODI # 2530
61,West Indies,Pakistan,West Indies,54 runs,Kingston,"Mar 13, 2007",ODI # 2531
62,Australia,Scotland,Australia,203 runs,Basseterre,"Mar 14, 2007",ODI # 2532
63,Canada,Kenya,Kenya,7 wickets,Gros Islet,"Mar 14, 2007",ODI # 2533
64,Bermuda,Sri Lanka,Sri Lanka,243 runs,Port of Spain,"Mar 15, 2007",ODI # 2534
65,Ireland,Zimbabwe,tied,,Kingston,"Mar 15, 2007",ODI # 2535
66,England,New Zealand,New Zealand,6 wickets,Gros Islet,"Mar 16, 2007",ODI # 2536
67,Netherlands,South Africa,South Africa,221 runs,Basseterre,"Mar 16, 2007",ODI # 2537
68,Bangladesh,India,Bangladesh,5 wickets,Port of Spain,"Mar 17, 2007",ODI # 2538
