Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 2787,New Zealand,West Indies,West Indies,5 wickets,Christchurch,"Jan 3, 2009"
ODI # 2788,New Zealand,West Indies,New Zealand,7 wickets,Wellington,"Jan 7, 2009"
ODI # 2789,New Zealand,West Indies,no result,,Auckland,"Jan 10, 2009"
ODI # 2790,Bangladesh,Zimbabwe,Zimbabwe,38 runs,Dhaka,"Jan 10, 2009"
ODI # 2791,Sri Lanka,Zimbabwe,Sri Lanka,130 runs,Dhaka,"Jan 12, 2009"
ODI # 2792,New Zealand,West Indies,New Zealand,9 runs,Napier,"Jan 13, 2009"
ODI # 2793,Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka,"Jan 14, 2009"
ODI # 2794,Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dhaka,"Jan 16, 2009"
ODI # 2795,Australia,South Africa,South Africa,3 wickets,Melbourne,"Jan 16, 2009"
ODI # 2796,Australia,South Africa,Australia,5 runs,Hobart,"Jan 18, 2009"
ODI # 2797,Bangladesh,Zimbabwe,Zimbabwe,2 wickets,Dhaka,"Jan 19, 2009"
ODI # 2798,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,"Jan 20, 2009"
ODI # 2799,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Jan 21, 2009"
ODI # 2800,Pakistan,Sri Lanka,Sri Lanka,129 runs,Karachi,"Jan 21, 2009"
ODI # 2801,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka,"Jan 23, 2009"
ODI # 2802,Australia,South Africa,South Africa,3 wickets,Sydney,"Jan 23, 2009"
ODI # 2803,Pakistan,Sri Lanka,Sri Lanka,234 runs,Lahore,"Jan 24, 2009"
ODI # 2804,Australia,South Africa,South Africa,8 wickets,Adelaide,"Jan 26, 2009"
ODI # 2805,Kenya,Zimbabwe,Zimbabwe,109 runs,Mombasa,"Jan 27, 2009"
ODI # 2806,Sri Lanka,India,India,6 wickets,Dambulla,"Jan 28, 2009"
ODI # 2807,Kenya,Zimbabwe,Zimbabwe,151 runs,Mombasa,"Jan 29, 2009"
ODI # 2808,Australia,South Africa,South Africa,39 runs,Perth,"Jan 30, 2009"
ODI # 2809,Kenya,Zimbabwe,Zimbabwe,4 wickets,Nairobi (Gym),"Jan 31, 2009"
ODI # 2810,Sri Lanka,India,India,15 runs,Colombo (RPS),"Jan 31, 2009"
ODI # 2811,Australia,New Zealand,New Zealand,2 wickets,Perth,"Feb 1, 2009"
ODI # 2812,Kenya,Zimbabwe,Zimbabwe,66 runs,Nairobi (Gym),"Feb 1, 2009"
ODI # 2813,Sri Lanka,India,India,147 runs,Colombo (RPS),"Feb 3, 2009"
ODI # 2814,Kenya,Zimbabwe,Zimbabwe,7 wickets,Nairobi (Gym),"Feb 4, 2009"
ODI # 2815,Sri Lanka,India,India,67 runs,Colombo (RPS),"Feb 5, 2009"
ODI # 2816,Australia,New Zealand,New Zealand,6 wickets,Melbourne,"Feb 6, 2009"
ODI # 2817,Australia,New Zealand,Australia,32 runs,Sydney,"Feb 8, 2009"
ODI # 2818,Sri Lanka,India,Sri Lanka,68 runs,Colombo (RPS),"Feb 8, 2009"
ODI # 2819,Australia,New Zealand,Australia,6 wickets,Adelaide,"Feb 10, 2009"
ODI # 2820,Australia,New Zealand,no result,,Brisbane,"Feb 13, 2009"
ODI # 2821,New Zealand,India,India,53 runs,Napier,"Mar 3, 2009"
ODI # 2822,New Zealand,India,no result,,Wellington,"Mar 6, 2009"
ODI # 2823,New Zealand,India,India,58 runs,Christchurch,"Mar 8, 2009"
ODI # 2824,New Zealand,India,India,84 runs,Hamilton,"Mar 11, 2009"
ODI # 2825,New Zealand,India,New Zealand,8 wickets,Auckland,"Mar 14, 2009"
ODI # 2826,West Indies,England,England,1 run,Providence,"Mar 20, 2009"
ODI # 2827,West Indies,England,West Indies,21 runs,Providence,"Mar 22, 2009"
ODI # 2828,West Indies,England,West Indies,8 wickets,Bridgetown,"Mar 27, 2009"
ODI # 2829,West Indies,England,England,9 wickets,Bridgetown,"Mar 29, 2009"
ODI # 2830,Ireland,Scotland,Ireland,7 wickets,Benoni,"Apr 1, 2009"
ODI # 2831,Kenya,Netherlands,Netherlands,7 wickets,Potchefstroom,"Apr 1, 2009"
ODI # 2832,South Africa,Australia,Australia,141 runs,Durban,"Apr 3, 2009"
ODI # 2833,West Indies,England,England,26 runs,Gros Islet,"Apr 3, 2009"
ODI # 2834,South Africa,Australia,South Africa,7 wickets,Centurion,"Apr 5, 2009"
ODI # 2835,Bermuda,Kenya,Kenya,7 wickets,Potchefstroom,"Apr 6, 2009"
ODI # 2836,Canada,Ireland,Ireland,6 wickets,Benoni,"Apr 6, 2009"
ODI # 2837,Bermuda,Netherlands,Netherlands,63 runs,Potchefstroom,"Apr 8, 2009"
ODI # 2838,Canada,Scotland,Canada,148 runs,Benoni,"Apr 8, 2009"
ODI # 2839,South Africa,Australia,South Africa,25 runs,Cape Town,"Apr 9, 2009"
ODI # 2840,South Africa,Australia,South Africa,61 runs,Port Elizabeth,"Apr 13, 2009"
ODI # 2841,South Africa,Australia,Australia,47 runs,Johannesburg,"Apr 17, 2009"
ODI # 2842,Afghanistan,Scotland,Afghanistan,89 runs,Benoni,"Apr 19, 2009"
ODI # 2843,Canada,Ireland,Ireland,9 wickets,Centurion,"Apr 19, 2009"
ODI # 2844,Kenya,Netherlands,Netherlands,6 wickets,Potchefstroom,"Apr 19, 2009"
ODI # 2845,Australia,Pakistan,Pakistan,4 wickets,Dubai (DSC),"Apr 22, 2009"
ODI # 2846,Australia,Pakistan,Australia,6 wickets,Dubai (DSC),"Apr 24, 2009"
ODI # 2847,Australia,Pakistan,Australia,27 runs,Abu Dhabi,"Apr 27, 2009"
ODI # 2848,Australia,Pakistan,Australia,8 wickets,Abu Dhabi,"May 1, 2009"
ODI # 2849,Australia,Pakistan,Pakistan,7 wickets,Abu Dhabi,"May 3, 2009"
ODI # 2850,England,West Indies,England,6 wickets,Bristol,"May 24, 2009"
ODI # 2851,England,West Indies,England,58 runs,Birmingham,"May 26, 2009"
ODI # 2852,West Indies,India,India,20 runs,Kingston,"Jun 26, 2009"
ODI # 2853,West Indies,India,West Indies,8 wickets,Kingston,"Jun 28, 2009"
ODI # 2854,West Indies,India,India,6 wickets,Gros Islet,"Jul 3, 2009"
ODI # 2855,West Indies,India,no result,,Gros Islet,"Jul 5, 2009"
ODI # 2856,Scotland,Canada,Canada,6 wickets,Aberdeen,"Jul 7, 2009"
ODI # 2857,Scotland,Canada,Scotland,5 wickets,Aberdeen,"Jul 8, 2009"
ODI # 2858,Ireland,Kenya,Ireland,3 wickets,Dublin,"Jul 9, 2009"
ODI # 2859,Netherlands,Canada,Netherlands,50 runs,Amstelveen,"Jul 11, 2009"
ODI # 2860,Ireland,Kenya,Ireland,52 runs,Dublin,"Jul 11, 2009"
ODI # 2861,Ireland,Kenya,Ireland,4 runs,Dublin,"Jul 12, 2009"
ODI # 2862,West Indies,Bangladesh,Bangladesh,52 runs,Roseau,"Jul 26, 2009"
ODI # 2863,West Indies,Bangladesh,Bangladesh,3 wickets,Roseau,"Jul 28, 2009"
ODI # 2864,Sri Lanka,Pakistan,Sri Lanka,36 runs,Dambulla,"Jul 30, 2009"
ODI # 2865,West Indies,Bangladesh,Bangladesh,3 wickets,Basseterre,"Jul 31, 2009"
ODI # 2866,Sri Lanka,Pakistan,Sri Lanka,6 wickets,Dambulla,"Aug 1, 2009"
ODI # 2867,Sri Lanka,Pakistan,Sri Lanka,6 wickets,Dambulla,"Aug 3, 2009"
ODI # 2868,Sri Lanka,Pakistan,Pakistan,146 runs,Colombo (RPS),"Aug 7, 2009"
ODI # 2869,Zimbabwe,Bangladesh,Bangladesh,8 wickets,Bulawayo,"Aug 9, 2009"
ODI # 2870,Sri Lanka,Pakistan,Pakistan,132 runs,Colombo (RPS),"Aug 9, 2009"
ODI # 2871,Zimbabwe,Bangladesh,Bangladesh,49 runs,Bulawayo,"Aug 11, 2009"
ODI # 2872,Zimbabwe,Bangladesh,Zimbabwe,69 runs,Bulawayo,"Aug 14, 2009"
ODI # 2873,Zimbabwe,Bangladesh,Bangladesh,4 wickets,Bulawayo,"Aug 16, 2009"
ODI # 2874,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Bulawayo,"Aug 18, 2009"
ODI # 2875,Canada,Kenya,Canada,9 wickets,King City (NW),"Aug 19, 2009"
ODI # 2876,Scotland,Ireland,Ireland,96 runs,Aberdeen,"Aug 22, 2009"
ODI # 2877,Canada,Kenya,no result,,King City (NW),"Aug 22, 2009"
ODI # 2878,Ireland,England,England,3 runs,Belfast,"Aug 27, 2009"
ODI # 2879,Scotland,Australia,Australia,189 runs,Edinburgh,"Aug 28, 2009"
ODI # 2880,Netherlands,Afghanistan,Netherlands,8 runs,Amstelveen,"Aug 30, 2009"
ODI # 2881,Netherlands,Afghanistan,Afghanistan,6 wickets,Amstelveen,"Sep 1, 2009"
ODI # 2882,England,Australia,Australia,4 runs,The Oval,"Sep 4, 2009"
ODI # 2883,England,Australia,Australia,39 runs,Lord's,"Sep 6, 2009"
ODI # 2884,Sri Lanka,New Zealand,Sri Lanka,97 runs,Colombo (RPS),"Sep 8, 2009"
ODI # 2885,England,Australia,Australia,6 wickets,Southampton,"Sep 9, 2009"
ODI # 2886,India,New Zealand,India,6 wickets,Colombo (RPS),"Sep 11, 2009"
ODI # 2887,Sri Lanka,India,Sri Lanka,139 runs,Colombo (RPS),"Sep 12, 2009"
ODI # 2888,England,Australia,Australia,7 wickets,Lord's,"Sep 12, 2009"
ODI # 2889,Sri Lanka,India,India,46 runs,Colombo (RPS),"Sep 14, 2009"
ODI # 2890,England,Australia,Australia,4 wickets,Nottingham,"Sep 15, 2009"
ODI # 2891,England,Australia,Australia,111 runs,Nottingham,"Sep 17, 2009"
ODI # 2892,England,Australia,England,4 wickets,Chester-le-Street,"Sep 20, 2009"
ODI # 2893,South Africa,Sri Lanka,Sri Lanka,55 runs,Centurion,"Sep 22, 2009"
ODI # 2894,Pakistan,West Indies,Pakistan,5 wickets,Johannesburg,"Sep 23, 2009"
ODI # 2895,South Africa,New Zealand,South Africa,5 wickets,Centurion,"Sep 24, 2009"
ODI # 2896,England,Sri Lanka,England,6 wickets,Johannesburg,"Sep 25, 2009"
ODI # 2897,Australia,West Indies,Australia,50 runs,Johannesburg,"Sep 26, 2009"
ODI # 2898,India,Pakistan,Pakistan,54 runs,Centurion,"Sep 26, 2009"
ODI # 2899,New Zealand,Sri Lanka,New Zealand,38 runs,Johannesburg,"Sep 27, 2009"
ODI # 2900,South Africa,England,England,22 runs,Centurion,"Sep 27, 2009"
ODI # 2901,Australia,India,no result,,Centurion,"Sep 28, 2009"
ODI # 2902,England,New Zealand,New Zealand,4 wickets,Johannesburg,"Sep 29, 2009"
ODI # 2903,Australia,Pakistan,Australia,2 wickets,Centurion,"Sep 30, 2009"
ODI # 2904,India,West Indies,India,7 wickets,Johannesburg,"Sep 30, 2009"
ODI # 2905,Australia,England,Australia,9 wickets,Centurion,"Oct 2, 2009"
ODI # 2906,New Zealand,Pakistan,New Zealand,5 wickets,Johannesburg,"Oct 3, 2009"
ODI # 2907,Australia,New Zealand,Australia,6 wickets,Centurion,"Oct 5, 2009"
ODI # 2908,Zimbabwe,Kenya,Zimbabwe,91 runs,Harare,"Oct 12, 2009"
ODI # 2909,Zimbabwe,Kenya,Zimbabwe,86 runs,Harare,"Oct 13, 2009"
ODI # 2910,Zimbabwe,Kenya,Kenya,20 runs,Harare,"Oct 15, 2009"
ODI # 2911,Zimbabwe,Kenya,Zimbabwe,6 wickets,Harare,"Oct 17, 2009"
ODI # 2912,Zimbabwe,Kenya,Zimbabwe,142 runs,Harare,"Oct 18, 2009"
ODI # 2913,India,Australia,Australia,4 runs,Vadodara,"Oct 25, 2009"
ODI # 2914,Bangladesh,Zimbabwe,Zimbabwe,5 wickets,Dhaka,"Oct 27, 2009"
ODI # 2915,India,Australia,India,99 runs,Nagpur,"Oct 28, 2009"
ODI # 2916,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Dhaka,"Oct 29, 2009"
ODI # 2917,Bangladesh,Zimbabwe,Bangladesh,4 wickets,Dhaka,"Oct 31, 2009"
ODI # 2918,India,Australia,India,6 wickets,Delhi,"Oct 31, 2009"
ODI # 2919,India,Australia,Australia,24 runs,Mohali,"Nov 2, 2009"
ODI # 2920,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chittagong,"Nov 3, 2009"
ODI # 2921,New Zealand,Pakistan,Pakistan,138 runs,Abu Dhabi,"Nov 3, 2009"
ODI # 2922,Bangladesh,Zimbabwe,Bangladesh,1 wicket,Chittagong,"Nov 5, 2009"
ODI # 2923,India,Australia,Australia,3 runs,Hyderabad (Deccan),"Nov 5, 2009"
ODI # 2924,New Zealand,Pakistan,New Zealand,64 runs,Abu Dhabi,"Nov 6, 2009"
ODI # 2925,India,Australia,Australia,6 wickets,Guwahati,"Nov 8, 2009"
ODI # 2926,South Africa,Zimbabwe,South Africa,45 runs,Benoni,"Nov 8, 2009"
ODI # 2927,New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi,"Nov 9, 2009"
ODI # 2928,South Africa,Zimbabwe,South Africa,212 runs,Centurion,"Nov 10, 2009"
ODI # 2929,South Africa,England,England,7 wickets,Centurion,"Nov 22, 2009"
ODI # 2930,South Africa,England,South Africa,112 runs,Cape Town,"Nov 27, 2009"
ODI # 2931,South Africa,England,England,7 wickets,Port Elizabeth,"Nov 29, 2009"
ODI # 2932,India,Sri Lanka,India,3 runs,Rajkot,"Dec 15, 2009"
ODI # 2933,India,Sri Lanka,Sri Lanka,3 wickets,Nagpur,"Dec 18, 2009"
ODI # 2934,India,Sri Lanka,India,7 wickets,Cuttack,"Dec 21, 2009"
ODI # 2935,India,Sri Lanka,India,7 wickets,Kolkata,"Dec 24, 2009"
ODI # 2936,India,Sri Lanka,no result,,Delhi,"Dec 27, 2009"
