Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1,Australia,England,Australia,5 wickets,Melbourne,"Jan 5, 1971"
ODI # 2,England,Australia,England,6 wickets,Manchester,"Aug 24, 1972"
ODI # 3,England,Australia,Australia,5 wickets,Lord's,"Aug 26, 1972"
ODI # 4,England,Australia,England,2 wickets,Birmingham,"Aug 28, 1972"
ODI # 5,New Zealand,Pakistan,New Zealand,22 runs,Christchurch,"Feb 11, 1973"
ODI # 6,England,New Zealand,England,7 wickets,Swansea,"Jul 18, 1973"
ODI # 7,England,New Zealand,no result,,Manchester,"Jul 20, 1973"
ODI # 8,England,West Indies,England,1 wicket,Leeds,"Sep 5, 1973"
ODI # 9,England,West Indies,West Indies,8 wickets,The Oval,"Sep 7, 1973"
ODI # 10,New Zealand,Australia,Australia,7 wickets,Dunedin,"Mar 30, 1974"
ODI # 11,New Zealand,Australia,Australia,31 runs,Christchurch,"Mar 31, 1974"
ODI # 12,England,India,England,4 wickets,Leeds,"Jul 13, 1974"
ODI # 13,England,India,England,6 wickets,The Oval,"Jul 15-16, 1974"
ODI # 14,England,Pakistan,Pakistan,7 wickets,Nottingham,"Aug 31, 1974"
ODI # 15,England,Pakistan,Pakistan,8 wickets,Birmingham,"Sep 3, 1974"
ODI # 16,Australia,England,England,3 wickets,Melbourne,"Jan 1, 1975"
ODI # 17,New Zealand,England,no result,,Dunedin,"Mar 8, 1975"
ODI # 18,New Zealand,England,no result,,Wellington,"Mar 9, 1975"
ODI # 19,England,India,England,202 runs,Lord's,"Jun 7, 1975"
ODI # 20,East Africa,New Zealand,New Zealand,181 runs,Birmingham,"Jun 7, 1975"
ODI # 21,Australia,Pakistan,Australia,73 runs,Leeds,"Jun 7, 1975"
ODI # 22,Sri Lanka,West Indies,West Indies,9 wickets,Manchester,"Jun 7, 1975"
ODI # 23,England,New Zealand,England,80 runs,Nottingham,"Jun 11, 1975"
ODI # 24,East Africa,India,India,10 wickets,Leeds,"Jun 11, 1975"
ODI # 25,Australia,Sri Lanka,Australia,52 runs,The Oval,"Jun 11, 1975"
ODI # 26,Pakistan,West Indies,West Indies,1 wicket,Birmingham,"Jun 11, 1975"
ODI # 27,England,East Africa,England,196 runs,Birmingham,"Jun 14, 1975"
ODI # 28,India,New Zealand,New Zealand,4 wickets,Manchester,"Jun 14, 1975"
ODI # 29,Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 14, 1975"
ODI # 30,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,"Jun 14, 1975"
