Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1378,New Zealand,India,New Zealand,5 wickets,Taupo,"Jan 9, 1999"
ODI # 1379,Australia,England,England,7 runs,Brisbane,"Jan 10, 1999"
ODI # 1380,England,Sri Lanka,England,4 wickets,Brisbane,"Jan 11, 1999"
ODI # 1381,New Zealand,India,India,2 wickets,Napier,"Jan 12, 1999"
ODI # 1382,Australia,Sri Lanka,Australia,8 wickets,Sydney,"Jan 13, 1999"
ODI # 1383,New Zealand,India,no result,,Wellington,"Jan 14, 1999"
ODI # 1384,Australia,England,Australia,9 wickets,Melbourne,"Jan 15, 1999"
ODI # 1385,New Zealand,India,India,5 wickets,Auckland,"Jan 16, 1999"
ODI # 1386,Australia,England,England,7 runs,Sydney,"Jan 17, 1999"
ODI # 1387,New Zealand,India,New Zealand,70 runs,Christchurch,"Jan 19, 1999"
ODI # 1388,England,Sri Lanka,England,7 wickets,Melbourne,"Jan 19, 1999"
ODI # 1389,Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,"Jan 21, 1999"
ODI # 1390,South Africa,West Indies,South Africa,2 wickets,Johannesburg,"Jan 22, 1999"
ODI # 1391,England,Sri Lanka,Sri Lanka,1 wicket,Adelaide,"Jan 23, 1999"
ODI # 1392,Australia,Sri Lanka,Australia,80 runs,Adelaide,"Jan 24, 1999"
ODI # 1393,South Africa,West Indies,West Indies,43 runs,East London,"Jan 24, 1999"
ODI # 1394,Australia,England,Australia,16 runs,Adelaide,"Jan 26, 1999"
ODI # 1395,South Africa,West Indies,South Africa,55 runs,Durban,"Jan 27, 1999"
ODI # 1396,England,Sri Lanka,England,128 runs,Perth,"Jan 29, 1999"
ODI # 1397,South Africa,West Indies,South Africa,99 runs,Port Elizabeth,"Jan 30, 1999"
ODI # 1398,Australia,Sri Lanka,Australia,45 runs,Perth,"Jan 31, 1999"
ODI # 1399,South Africa,West Indies,South Africa,89 runs,Cape Town,"Feb 2, 1999"
ODI # 1400,England,Sri Lanka,Sri Lanka,11 runs,Sydney,"Feb 3, 1999"
ODI # 1401,Australia,England,Australia,4 wickets,Sydney,"Feb 5, 1999"
ODI # 1402,South Africa,West Indies,South Africa,114 runs,Bloemfontein,"Feb 5, 1999"
ODI # 1403,Australia,Sri Lanka,Australia,43 runs,Melbourne,"Feb 7, 1999"
ODI # 1404,South Africa,West Indies,South Africa,50 runs,Centurion,"Feb 7, 1999"
ODI # 1405,Australia,England,Australia,10 runs,Sydney,"Feb 10, 1999"
ODI # 1406,Australia,England,Australia,162 runs,Melbourne,"Feb 13, 1999"
ODI # 1407,New Zealand,South Africa,New Zealand,3 wickets,Dunedin,"Feb 14, 1999"
ODI # 1408,New Zealand,South Africa,South Africa,7 wickets,Christchurch,"Feb 17, 1999"
ODI # 1409,New Zealand,South Africa,New Zealand,7 wickets,Auckland,"Feb 20, 1999"
ODI # 1410,Bangladesh,Pakistan,Pakistan,152 runs,Dhaka,"Mar 16, 1999"
ODI # 1411,Pakistan,Sri Lanka,Pakistan,9 runs,Jamshedpur,"Mar 19, 1999"
ODI # 1412,Kenya,Zimbabwe,Zimbabwe,133 runs,Dhaka,"Mar 19, 1999"
ODI # 1413,Bangladesh,Kenya,Kenya,8 wickets,Dhaka,"Mar 20, 1999"
ODI # 1414,Bangladesh,Zimbabwe,Zimbabwe,126 runs,Dhaka,"Mar 21, 1999"
ODI # 1415,India,Sri Lanka,India,80 runs,Nagpur,"Mar 22, 1999"
ODI # 1416,Kenya,Zimbabwe,Zimbabwe,64 runs,Dhaka,"Mar 23, 1999"
ODI # 1417,India,Pakistan,Pakistan,143 runs,Jaipur,"Mar 24, 1999"
ODI # 1418,Bangladesh,Kenya,Kenya,73 runs,Dhaka,"Mar 24, 1999"
ODI # 1419,New Zealand,South Africa,no result,,Napier,"Mar 25, 1999"
ODI # 1420,Bangladesh,Zimbabwe,Zimbabwe,3 wickets,Dhaka,"Mar 25, 1999"
ODI # 1421,New Zealand,South Africa,South Africa,2 wickets,Napier,"Mar 26, 1999"
ODI # 1422,New Zealand,South Africa,South Africa,143 runs,Auckland,"Mar 27, 1999"
ODI # 1423,Pakistan,Sri Lanka,Sri Lanka,12 runs,Visakhapatnam,"Mar 27, 1999"
ODI # 1424,Kenya,Zimbabwe,Zimbabwe,202 runs,Dhaka,"Mar 27, 1999"
ODI # 1425,New Zealand,South Africa,no result,,Wellington,"Mar 30, 1999"
ODI # 1426,India,Sri Lanka,India,51 runs,Pune,"Mar 30, 1999"
ODI # 1427,India,Pakistan,Pakistan,7 wickets,Mohali,"Apr 1, 1999"
ODI # 1428,India,Pakistan,Pakistan,123 runs,Bengaluru,"Apr 4, 1999"
ODI # 1429,England,Pakistan,Pakistan,90 runs,Sharjah,"Apr 7, 1999"
ODI # 1430,India,Pakistan,Pakistan,116 runs,Sharjah,"Apr 8, 1999"
ODI # 1431,England,India,India,20 runs,Sharjah,"Apr 9, 1999"
ODI # 1432,England,India,India,9 runs,Sharjah,"Apr 11, 1999"
ODI # 1433,West Indies,Australia,West Indies,44 runs,Kingstown,"Apr 11, 1999"
ODI # 1434,England,Pakistan,England,62 runs,Sharjah,"Apr 12, 1999"
ODI # 1435,India,Pakistan,India,6 wickets,Sharjah,"Apr 13, 1999"
ODI # 1436,West Indies,Australia,Australia,46 runs,St George's,"Apr 14, 1999"
ODI # 1437,India,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 16, 1999"
ODI # 1438,West Indies,Australia,West Indies,5 wickets,Port of Spain,"Apr 17, 1999"
ODI # 1439,West Indies,Australia,Australia,20 runs,Port of Spain,"Apr 18, 1999"
ODI # 1440,West Indies,Australia,tied,,Georgetown,"Apr 21, 1999"
ODI # 1441,West Indies,Australia,Australia,4 wickets,Bridgetown,"Apr 24, 1999"
ODI # 1442,West Indies,Australia,West Indies,8 wickets,Bridgetown,"Apr 25, 1999"
ODI # 1443,England,Sri Lanka,England,8 wickets,Lord's,"May 14, 1999"
ODI # 1444,India,South Africa,South Africa,4 wickets,Hove,"May 15, 1999"
ODI # 1445,Kenya,Zimbabwe,Zimbabwe,5 wickets,Taunton,"May 15, 1999"
ODI # 1446,Australia,Scotland,Australia,6 wickets,Worcester,"May 16, 1999"
ODI # 1447,Pakistan,West Indies,Pakistan,27 runs,Bristol,"May 16, 1999"
ODI # 1448,Bangladesh,New Zealand,New Zealand,6 wickets,Chelmsford,"May 17, 1999"
ODI # 1449,England,Kenya,England,9 wickets,Canterbury,"May 18, 1999"
ODI # 1450,India,Zimbabwe,Zimbabwe,3 runs,Leicester,"May 19, 1999"
ODI # 1451,South Africa,Sri Lanka,South Africa,89 runs,Northampton,"May 19, 1999"
ODI # 1452,Australia,New Zealand,New Zealand,5 wickets,Cardiff,"May 20, 1999"
ODI # 1453,Pakistan,Scotland,Pakistan,94 runs,Chester-le-Street,"May 20, 1999"
